SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
ANDHRSUGAR,30-JUN-2017,337.2,340.0,296.7,338.65,116564,3284,337.2
ANGIND,30-JUN-2017,7.25,7.45,7.25,7.35,8067,42,7.25
ANIKINDS,30-JUN-2017,24.65,25.4,24.6,24.65,635,13,25.5
ANKITMETAL,30-JUN-2017,1.35,1.5,1.35,1.4,65482,66,1.35
ANSALAPI,30-JUN-2017,28.7,29.5,27.8,28.1,507526,3825,28.65
ANSALHSG,30-JUN-2017,27.1,29.5,26.85,28.15,67304,436,27.4
ANTGRAPHIC,30-JUN-2017,1.5,1.6,1.5,1.6,116605,25,1.55
APARINDS,30-JUN-2017,757.0,759.15,741.0,748.65,8957,997,757.25
APCL,30-JUN-2017,219.95,220.0,218.0,218.75,2172,55,220.4
APCOTEXIND,30-JUN-2017,397.0,410.95,397.0,404.1,11967,583,401.0
APLAPOLLO,30-JUN-2017,1538.0,1550.25,1538.0,1549.1,11522,464,1536.25
APLLTD,30-JUN-2017,506.0,514.7,498.7,506.2,96848,5390,505.2
APOLLOHOSP,30-JUN-2017,1280.2,1305.0,1267.0,1274.55,205845,20055,1278.85
APOLLOTYRE,30-JUN-2017,240.0,243.1,239.0,240.7,2152305,20251,242.9
APOLSINHOT,30-JUN-2017,736.3,779.0,735.0,749.0,53,14,789.75
APTECHT,30-JUN-2017,192.0,196.5,190.2,194.7,310335,3631,194.0
ARCHIDPLY,30-JUN-2017,87.8,88.5,86.05,88.05,40715,627,88.3
ARCHIES,30-JUN-2017,30.25,31.25,29.05,30.25,82596,604,30.5
ARCOTECH,30-JUN-2017,81.85,84.75,78.6,79.85,1914397,9857,80.9
ARIES,30-JUN-2017,152.0,152.0,147.55,149.6,138272,1092,151.5
ARIHANT,30-JUN-2017,52.5,54.5,52.0,52.2,568,8,54.15
ARIHANTSUP,30-JUN-2017,186.9,187.15,182.85,184.4,624725,5201,185.35
ARMANFIN,30-JUN-2017,191.5,194.8,190.8,192.55,4987,86,191.1
AROGRANITE,30-JUN-2017,73.5,76.9,72.8,75.85,35610,553,74.2
ARROWGREEN,30-JUN-2017,550.0,581.15,540.0,564.8,50992,2189,549.9
ARROWTEX,30-JUN-2017,44.05,45.6,44.05,44.85,17145,110,44.85
ARSHIYA,30-JUN-2017,69.55,70.8,68.95,69.95,31217,254,70.5
ARSSINFRA,30-JUN-2017,64.65,66.1,64.2,64.75,78129,1963,65.55
ARVIND,30-JUN-2017,359.4,361.85,356.35,359.85,1540321,20785,359.35
ARVSMART,30-JUN-2017,134.4,138.0,132.95,136.85,69143,1064,134.4
ASAHIINDIA,30-JUN-2017,245.95,246.0,241.05,244.9,11033,217,245.6
ASAHISONG,30-JUN-2017,290.0,295.0,285.1,288.3,5666,323,294.25
ASAL,30-JUN-2017,73.0,73.0,70.7,71.2,5020,55,72.0
ASHAPURMIN,30-JUN-2017,56.25,57.45,56.2,56.3,45998,423,56.55
ASHIANA,30-JUN-2017,194.0,195.65,190.0,190.95,27355,665,194.45
