SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
20MICRONS,17-MAY-2017,41.4,43.0,40.2,40.4,102596,654,41.7
3IINFOTECH,17-MAY-2017,5.1,5.15,5.0,5.05,1809209,714,5.05
3MINDIA,17-MAY-2017,13894.95,14490.0,13501.0,14130.05,5985,2013,13811.0
63MOONS,17-MAY-2017,76.4,78.0,76.0,76.1,44043,355,76.3
8KMILES,17-MAY-2017,599.5,610.7,590.1,595.5,63090,2880,595.25
A2ZINFRA,17-MAY-2017,47.2,48.15,46.6,47.1,583705,3504,47.4
AARTIDRUGS,17-MAY-2017,535.0,536.0,530.2,531.75,5009,523,533.15
AARTIIND,17-MAY-2017,958.2,962.45,930.0,931.95,48603,2602,953.85
AARVEEDEN,17-MAY-2017,69.75,70.85,67.65,68.45,18362,254,69.75
ABAN,17-MAY-2017,222.05,223.8,220.3,220.75,360933,4977,223.55
ABB,17-MAY-2017,1548.9,1587.0,1545.05,1560.75,131756,9067,1549.55
ABBOTINDIA,17-MAY-2017,4215.0,4235.0,4199.0,4226.9,1005,227,4206.0
ABFRL,17-MAY-2017,182.0,182.9,176.3,179.1,525271,6827,181.55
ABGSHIP,17-MAY-2017,19.65,19.65,19.1,19.2,9589,59,19.45
ABIRLANUVO,17-MAY-2017,1698.7,1713.5,1678.15,1700.7,167800,8226,1699.55
ABMINTLTD,17-MAY-2017,143.15,143.15,143.15,143.15,37,5,150.65
ACC,17-MAY-2017,1729.5,1729.5,1690.1,1694.05,351398,20283,1729.65
ACCELYA,17-MAY-2017,1424.0,1431.15,1405.0,1412.55,1777,288,1424.5
ACE,17-MAY-2017,67.1,67.95,66.65,67.55,156986,2130,67.3
ADANIENT,17-MAY-2017,122.5,122.85,119.55,121.5,5817867,26854,122.8
ADANIPORTS,17-MAY-2017,354.5,354.8,347.55,348.55,1239867,19750,354.5
ADANIPOWER,17-MAY-2017,32.95,33.75,32.45,33.1,27368209,38034,32.85
ADANITRANS,17-MAY-2017,101.0,104.0,99.7,102.15,3901096,22186,100.15
ADFFOODS,17-MAY-2017,298.75,301.9,291.5,293.45,480646,8582,299.25
ADHUNIK,17-MAY-2017,6.5,6.6,6.35,6.45,101993,563,6.45
ADHUNIKIND,17-MAY-2017,110.0,114.45,109.95,113.05,54009,217,112.0
ADLABS,17-MAY-2017,85.2,85.45,84.35,84.8,198649,1388,85.25
ADORWELD,17-MAY-2017,333.35,337.4,330.0,332.35,7545,178,333.35
ADSL,17-MAY-2017,28.55,29.8,28.5,28.55,8855,77,29.0
ADVANIHOTR,17-MAY-2017,60.65,60.9,60.5,60.7,1615,22,61.25
ADVENZYMES,17-MAY-2017,1974.0,2010.0,1952.9,1969.75,46314,3435,1971.25
AEGISCHEM,17-MAY-2017,194.0,195.15,190.2,193.2,219273,3531,193.7
AFL,17-MAY-2017,58.0,59.0,57.05,58.45,9236,24,60.0
AGARIND,17-MAY-2017,784.8,784.8,760.0,773.4,13326,102,751.0
AGCNET,17-MAY-2017,105.9,106.8,103.0,103.25,2800,109,104.25
AGRITECH,17-MAY-2017,56.75,56.75,52.55,55.2,14373,193,55.0
AHLEAST,17-MAY-2017,290.0,290.0,284.35,286.85,369,34,289.1
AHLUCONT,17-MAY-2017,410.0,410.0,393.0,396.2,80602,448,397.5
AHLWEST,17-MAY-2017,217.2,227.0,216.6,216.65,1083,58,219.85
AIAENG,17-MAY-2017,1510.0,1522.95,1480.05,1488.85,34533,5134,1505.65
AICHAMP,17-MAY-2017,27.05,28.9,27.05,28.9,354,5,28.45
AIFL,17-MAY-2017,399.0,404.85,392.1,399.7,98105,1880,394.05
AIRAN,17-MAY-2017,93.25,93.3,93.25,93.3,6000,2,95.0
AJANTPHARM,17-MAY-2017,1620.5,1668.0,1620.5,1654.35,210648,12022,1634.25
AJMERA,17-MAY-2017,226.0,234.0,222.65,233.35,167204,2734,225.8
AKSHARCHEM,17-MAY-2017,935.0,936.0,908.0,915.3,10815,644,926.9
AKSHOPTFBR,17-MAY-2017,22.45,22.8,22.25,22.5,1029705,2346,22.3
