SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
20MICRONS,22-AUG-2019,32.95,33.6,30.85,31.75,57976,461,32.95
21STCENMGM,22-AUG-2019,12.5,12.5,12.25,12.25,131,5,12.5
3IINFOTECH,22-AUG-2019,2.05,2.05,1.85,1.85,2271478,692,1.95
3MINDIA,22-AUG-2019,20126.0,20490.0,20100.0,20236.1,495,259,20315.85
3PLAND,22-AUG-2019,6.1,6.1,5.25,5.7,1818,5,5.55
5PAISA,22-AUG-2019,131.0,136.0,127.15,127.15,9220,210,133.8
63MOONS,22-AUG-2019,99.95,107.35,99.25,104.75,781293,7778,97.6
8KMILES,22-AUG-2019,54.25,55.35,51.55,51.6,79188,1048,54.25
A2ZINFRA,22-AUG-2019,9.7,9.95,8.9,9.1,150893,509,9.75
AARTIDRUGS,22-AUG-2019,459.7,462.75,442.2,458.2,185765,918,460.4
AARTIIND,22-AUG-2019,1485.0,1485.0,1435.0,1467.3,156575,14092,1474.95
AARVEEDEN,22-AUG-2019,12.7,14.45,12.7,12.95,3911,105,14.0
AAVAS,22-AUG-2019,1451.0,1499.85,1449.0,1477.85,9947,2365,1458.55
ABAN,22-AUG-2019,24.0,24.65,23.5,23.5,61461,509,24.7
ABB,22-AUG-2019,1361.55,1364.0,1340.0,1349.45,48945,2678,1359.35
ABBOTINDIA,22-AUG-2019,9015.0,9061.1,8800.0,8805.55,8880,1674,9001.1
ABCAPITAL,22-AUG-2019,89.75,90.3,86.6,88.0,1339838,18797,90.0
ABFRL,22-AUG-2019,191.0,191.7,185.0,189.85,486546,13212,191.05
ABSLNN50ET,22-AUG-2019,255.61,255.61,253.0,253.0,52,4,254.41
ACC,22-AUG-2019,1483.15,1489.0,1454.2,1464.6,1026298,44826,1485.65
ACCELYA,22-AUG-2019,735.85,737.75,705.0,709.5,5130,465,735.85
ACCURACY,22-AUG-2019,35.05,35.05,35.0,35.05,20800,13,33.4
ACE,22-AUG-2019,54.2,55.05,49.8,50.6,156878,2436,54.4
ADANIENT,22-AUG-2019,130.95,131.3,126.1,126.9,3358838,18298,131.9
ADANIGAS,22-AUG-2019,152.1,153.0,145.35,146.3,289216,3634,152.1
ADANIGREEN,22-AUG-2019,43.6,44.5,43.2,43.5,486726,2170,44.1
ADANIPORTS,22-AUG-2019,348.8,348.8,340.8,345.05,2171160,35447,350.7
ADANIPOWER,22-AUG-2019,58.2,59.35,56.4,56.9,8491499,18419,58.25
ADANITRANS,22-AUG-2019,224.95,226.1,214.5,216.65,90609,4828,223.15
ADFFOODS,22-AUG-2019,253.0,255.0,241.05,245.6,26635,1374,256.0
ADHUNIK,22-AUG-2019,1.25,1.25,1.15,1.15,7340,24,1.2
ADHUNIKIND,22-AUG-2019,86.5,89.8,86.0,87.8,55856,391,86.2
ADLABS,22-AUG-2019,3.7,3.85,3.55,3.55,162209,256,3.7
ADORWELD,22-AUG-2019,285.3,286.35,281.1,283.3,1796,126,287.55
ADROITINFO,22-AUG-2019,10.8,10.8,10.8,10.8,10,1,10.9
ADSL,22-AUG-2019,13.15,13.9,12.6,13.55,52154,205,13.45
ADVANIHOTR,22-AUG-2019,53.05,57.55,50.75,50.95,2478,90,53.95
ADVENZYMES,22-AUG-2019,150.5,152.85,146.7,147.05,39241,6502,151.25
AEGISCHEM,22-AUG-2019,201.1,203.5,196.7,198.85,115178,3547,202.2
AFFLE,22-AUG-2019,790.0,794.4,776.15,781.6,37736,2466,789.75
AGARIND,22-AUG-2019,127.05,132.0,122.0,127.05,39334,163,128.8
AGCNET,22-AUG-2019,121.95,129.7,119.0,127.05,36542,1171,128.05
AGLSL,22-AUG-2019,46.0,46.0,44.95,45.0,2019,26,47.7
AGRITECH,22-AUG-2019,45.6,48.25,44.15,44.85,13056,200,47.15
AGROPHOS,22-AUG-2019,87.7,90.75,83.25,84.0,1213,24,87.6
AHLADA,22-AUG-2019,51.3,56.0,51.05,56.0,3000,3,56.0
AHLEAST,22-AUG-2019,169.0,173.0,158.05,163.85,175,30,166.4
AHLUCONT,22-AUG-2019,307.2,315.0,306.0,308.7,31791,227,307.2
AHLWEST,22-AUG-2019,275.0,275.0,260.0,263.3,777,11,271.1
AIAENG,22-AUG-2019,1610.95,1623.95,1582.05,1597.4,21560,2687,1616.4
AIONJSW,22-AUG-2019,14.35,14.4,13.1,13.85,23787,227,14.25
AIRAN,22-AUG-2019,17.55,19.25,17.5,17.7,7576,95,18.05
