SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
VARDHACRLC,08-FEB-2016,33.1,33.65,32.1,32.95,30360,103,33.05
VARDMNPOLY,08-FEB-2016,41.0,42.25,40.6,41.0,1384,24,40.6
VASCONEQ,08-FEB-2016,28.2,30.4,28.1,28.3,425551,1965,28.5
VASWANI,08-FEB-2016,7.5,8.0,7.25,7.9,9294,17,7.5
VEDL,08-FEB-2016,73.8,75.6,71.0,71.7,21661298,63179,73.9
VENKEYS,08-FEB-2016,274.1,281.8,270.0,273.6,7040,452,276.2
VENUSREM,08-FEB-2016,108.45,111.5,107.6,108.3,35519,885,107.95
VESUVIUS,08-FEB-2016,725.0,734.9,715.0,727.45,389,26,723.55
VETO,08-FEB-2016,109.3,110.9,107.0,107.95,34943,504,109.45
VGUARD,08-FEB-2016,910.0,916.9,890.3,895.5,19013,167,897.9
VICEROY,08-FEB-2016,19.0,19.0,17.45,17.6,17637,142,17.9
VIDEOIND,08-FEB-2016,110.65,111.7,109.0,111.35,185073,899,112.35
VIJAYABANK,08-FEB-2016,34.6,34.65,32.9,33.05,963417,5735,34.25
VIJSHAN,08-FEB-2016,10.5,10.5,9.9,9.95,2617,35,9.85
VIKASECO,08-FEB-2016,21.7,22.3,21.1,21.55,3734709,4327,21.65
VIMALOIL,08-FEB-2016,53.6,55.0,51.5,54.4,3369,44,53.35
VIMTALABS,08-FEB-2016,73.3,76.0,71.05,72.45,32695,777,73.8
VINATIORGA,08-FEB-2016,394.1,397.1,375.35,386.35,34642,1901,393.85
VINDHYATEL,08-FEB-2016,730.0,747.4,710.1,737.7,4404,194,732.0
VINYLINDIA,08-FEB-2016,50.65,53.75,49.55,49.8,74854,776,53.1
VIPIND,08-FEB-2016,95.9,96.0,94.0,94.3,141549,1286,95.4
VIPULLTD,08-FEB-2016,46.4,46.45,46.4,46.45,2785,8,45.55
VISAKAIND,08-FEB-2016,103.0,103.25,100.55,101.0,15267,342,101.25
VISASTEEL,08-FEB-2016,15.1,16.3,15.1,15.55,72923,373,14.7
VISESHINFO,08-FEB-2016,0.1,0.15,0.1,0.15,652605,78,0.1
