SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
20MICRONS,29-DEC-2016,31.9,32.75,31.9,32.3,15567,173,32.35
3IINFOTECH,29-DEC-2016,5.65,5.65,5.5,5.55,396532,215,5.5
3MINDIA,29-DEC-2016,10710.0,10928.9,10533.0,10895.55,898,283,10636.35
8KMILES,29-DEC-2016,646.4,650.95,635.0,639.55,31811,1172,641.9
A2ZINFRA,29-DEC-2016,39.6,40.4,39.0,39.95,411937,2750,39.45
AARTIDRUGS,29-DEC-2016,598.0,608.0,573.0,606.35,9099,1211,595.7
AARTIIND,29-DEC-2016,673.0,687.5,673.0,679.8,119209,2944,673.65
AARVEEDEN,29-DEC-2016,81.65,81.65,75.05,78.85,8604,244,78.75
ABAN,29-DEC-2016,227.7,231.3,227.1,229.35,662638,9575,227.55
ABB,29-DEC-2016,1042.8,1042.8,1022.0,1028.05,19096,2025,1031.75
ABBOTINDIA,29-DEC-2016,4585.0,4650.0,4578.0,4633.8,858,215,4624.35
ABFRL,29-DEC-2016,131.0,137.4,130.25,136.25,298470,3660,130.2
ABGSHIP,29-DEC-2016,30.4,30.4,29.55,29.85,104040,784,29.7
ABIRLANUVO,29-DEC-2016,1190.0,1250.0,1181.0,1243.05,651098,17103,1187.7
ACC,29-DEC-2016,1295.0,1314.7,1293.4,1309.95,283456,16091,1294.8
ACCELYA,29-DEC-2016,1425.05,1459.0,1425.05,1440.0,2319,107,1452.95
ACE,29-DEC-2016,45.2,46.0,44.6,45.45,80453,952,45.05
ADANIENT,29-DEC-2016,70.5,73.75,70.15,73.05,1791048,7786,70.8
ADANIPORTS,29-DEC-2016,268.0,268.1,262.65,264.65,4400374,35536,268.5
ADANIPOWER,29-DEC-2016,28.85,30.5,28.75,30.2,9591318,15491,28.85
ADANITRANS,29-DEC-2016,56.0,56.35,55.2,56.1,345025,2897,55.7
ADFFOODS,29-DEC-2016,139.0,143.8,135.15,139.85,83301,1747,137.6
ADHUNIK,29-DEC-2016,6.75,7.0,6.75,6.85,26868,465,6.8
ADHUNIKIND,29-DEC-2016,101.0,110.0,101.0,104.3,42410,113,104.25
ADI,29-DEC-2016,496.35,514.85,495.65,507.95,3688,390,493.2
ADLABS,29-DEC-2016,70.2,73.95,70.2,70.85,393529,3738,69.8
ADORWELD,29-DEC-2016,296.95,296.95,288.1,290.05,759,69,290.2
ADSL,29-DEC-2016,34.6,35.0,33.2,33.65,27010,169,34.6
ADVANIHOTR,29-DEC-2016,51.9,51.9,50.6,51.8,436,9,51.75
ADVENZYMES,29-DEC-2016,1962.0,1985.0,1935.4,1966.05,56495,4522,1958.25
