SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
ANANTRAJ,05-JUL-2017,60.15,61.7,59.4,61.15,1096089,4105,60.1
ANDHRABANK,05-JUL-2017,53.75,55.1,53.6,54.6,2389556,6061,53.65
ANDHRACEMT,05-JUL-2017,11.95,12.15,10.9,11.05,1129415,1934,11.4
ANDHRSUGAR,05-JUL-2017,340.6,346.0,339.55,343.7,25005,468,339.1
ANGIND,05-JUL-2017,7.65,7.75,7.45,7.55,10490,58,7.55
ANIKINDS,05-JUL-2017,25.6,25.6,24.15,24.7,527,11,25.4
ANKITMETAL,05-JUL-2017,1.4,1.4,1.3,1.35,39836,37,1.35
ANSALAPI,05-JUL-2017,29.5,29.65,28.55,28.8,449745,1556,29.25
ANSALHSG,05-JUL-2017,28.1,28.85,28.05,28.55,51105,292,28.1
ANTGRAPHIC,05-JUL-2017,1.6,1.6,1.5,1.6,60635,26,1.55
APARINDS,05-JUL-2017,755.0,770.0,746.3,762.75,9779,698,755.3
APCL,05-JUL-2017,228.35,228.35,216.0,224.15,3912,91,222.2
APCOTEXIND,05-JUL-2017,422.0,438.0,419.25,425.75,24600,2221,417.55
APLAPOLLO,05-JUL-2017,1611.0,1628.0,1592.0,1598.0,9653,862,1602.95
APLLTD,05-JUL-2017,512.5,523.8,512.0,521.2,21617,1151,512.1
APOLLOHOSP,05-JUL-2017,1268.0,1281.9,1262.95,1275.0,237722,14868,1272.6
APOLLOTYRE,05-JUL-2017,252.8,257.9,251.0,254.55,2260574,14398,251.2
APOLSINHOT,05-JUL-2017,715.0,769.0,715.0,769.0,367,31,718.9
APTECHT,05-JUL-2017,198.2,221.6,196.7,216.25,1742150,20721,198.1
ARCHIDPLY,05-JUL-2017,96.65,114.8,95.45,113.05,2420656,21450,95.7
ARCHIES,05-JUL-2017,36.9,40.05,36.2,36.8,1694813,6584,36.15
ARCOTECH,05-JUL-2017,76.8,77.95,66.3,74.2,548582,4627,76.75
ARIES,05-JUL-2017,152.8,159.0,148.0,149.1,206436,2279,151.25
ARIHANT,05-JUL-2017,51.05,52.5,51.05,52.5,110,2,52.2
ARIHANTSUP,05-JUL-2017,197.55,208.8,197.55,201.05,803667,7164,193.9
ARMANFIN,05-JUL-2017,208.9,208.9,202.65,202.95,3322,74,202.2
AROGRANITE,05-JUL-2017,75.0,77.0,74.35,76.0,30175,398,75.4
ARROWGREEN,05-JUL-2017,560.45,565.5,555.55,562.05,34886,953,556.65
ARROWTEX,05-JUL-2017,45.7,46.25,44.4,46.0,23352,138,45.35
ARSHIYA,05-JUL-2017,69.75,71.8,69.45,70.65,42330,374,69.35
ARSSINFRA,05-JUL-2017,65.05,67.45,65.05,66.25,106842,1841,65.4
ARVIND,05-JUL-2017,368.0,369.9,364.25,368.4,712124,11361,367.45
ARVSMART,05-JUL-2017,143.0,143.45,139.55,140.25,39185,642,141.45
ASAHIINDIA,05-JUL-2017,258.6,263.0,248.1,249.4,72327,1246,259.95
ASAHISONG,05-JUL-2017,296.0,296.0,290.55,295.15,2544,128,294.2
ASAL,05-JUL-2017,76.15,77.9,75.15,77.1,22327,265,75.05
ASHAPURMIN,05-JUL-2017,58.2,58.7,57.25,58.05,32876,495,58.15
ASHIANA,05-JUL-2017,190.4,193.65,187.05,190.85,29522,798,189.1
ASHIMASYN,05-JUL-2017,21.9,22.6,21.55,21.65,447312,2467,22.05
ASHOKA,05-JUL-2017,187.5,191.0,186.15,190.0,62665,1748,188.3
ASHOKLEY,05-JUL-2017,99.55,102.15,99.4,101.6,18028341,49783,99.35
ASIANHOTNR,05-JUL-2017,132.4,132.4,129.0,131.0,200,6,129.0
ASIANPAINT,05-JUL-2017,1108.55,1135.0,1108.55,1126.65,837353,29164,1108.55
ASIANTILES,05-JUL-2017,445.05,450.0,440.25,445.65,52101,1480,449.3
