SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
ALOKTEXT,29-MAY-2019,3.9,3.95,3.8,3.9,1735292,635,3.8
ALPA,29-MAY-2019,23.5,23.6,22.7,22.8,37847,301,23.4
ALPHAGEO,29-MAY-2019,472.15,487.15,465.0,467.35,2203,295,486.65
ALPSINDUS,29-MAY-2019,0.95,0.95,0.9,0.9,363,5,0.95
AMARAJABAT,29-MAY-2019,638.1,645.0,627.1,631.3,353464,10228,638.1
AMBER,29-MAY-2019,816.25,852.95,816.25,845.2,16315,1444,837.65
AMBIKCO,29-MAY-2019,1100.0,1100.0,1080.0,1091.65,4698,548,1096.2
AMBUJACEM,29-MAY-2019,238.2,238.4,233.15,233.85,1736796,33245,238.4
AMDIND,29-MAY-2019,20.4,20.4,19.5,19.55,2575,27,20.3
AMJLAND,29-MAY-2019,19.2,20.0,19.2,19.55,4801,47,19.25
AMJUMBO,29-MAY-2019,43.7,46.8,43.7,45.9,6000,3,46.0
AMRUTANJAN,29-MAY-2019,325.0,328.7,320.25,326.25,98126,1733,326.6
ANANTRAJ,29-MAY-2019,35.7,35.7,34.2,34.3,270472,933,35.45
ANDHRABANK,29-MAY-2019,25.65,26.1,25.4,25.55,605105,2870,25.95
ANDHRACEMT,29-MAY-2019,4.9,5.0,4.6,4.75,108272,162,4.8
ANDHRSUGAR,29-MAY-2019,404.7,412.0,385.0,392.4,153312,3841,400.8
ANIKINDS,29-MAY-2019,14.25,14.4,13.8,14.15,917,15,14.15
ANKITMETAL,29-MAY-2019,0.5,0.5,0.5,0.5,38146,28,0.45
ANSALAPI,29-MAY-2019,8.4,9.4,8.2,8.65,138412,432,8.4
ANSALHSG,29-MAY-2019,9.9,10.2,9.7,10.0,572454,281,9.95
ANTGRAPHIC,29-MAY-2019,0.7,0.8,0.7,0.8,51638,36,0.75
ANUP,29-MAY-2019,507.6,527.9,507.6,516.9,35636,1279,507.6
APARINDS,29-MAY-2019,670.0,690.0,666.0,671.9,3543,333,676.15
APCL,29-MAY-2019,179.85,184.0,175.5,176.8,6912,314,178.3
APCOTEXIND,29-MAY-2019,530.0,543.0,530.0,537.15,9252,595,526.8
APEX,29-MAY-2019,302.0,303.05,285.5,294.6,171946,4433,303.65
APLAPOLLO,29-MAY-2019,1652.1,1652.1,1614.0,1634.05,4754,563,1632.05
APLLTD,29-MAY-2019,534.5,535.1,520.15,521.55,13982,1006,532.5
APOLLO,29-MAY-2019,137.0,139.25,134.5,135.45,12276,425,136.45
APOLLOHOSP,29-MAY-2019,1191.5,1209.0,1173.3,1203.3,278890,15113,1190.8
APOLLOTYRE,29-MAY-2019,197.5,197.8,192.65,194.15,1319186,11359,197.9
APOLSINHOT,29-MAY-2019,1018.95,1020.0,980.05,991.0,1843,143,997.5
APTECHT,29-MAY-2019,169.0,171.8,165.0,165.85,326589,6425,169.45
ARCHIDPLY,29-MAY-2019,39.9,39.9,37.3,38.05,5558,185,39.0
ARCHIES,29-MAY-2019,22.6,22.6,21.7,21.9,104351,443,23.05
ARCOTECH,29-MAY-2019,4.2,4.45,4.15,4.15,55717,77,4.3
ARIES,29-MAY-2019,76.5,80.5,73.3,78.15,159438,2258,74.5
ARIHANT,29-MAY-2019,31.0,34.4,30.0,32.7,22268,272,29.35
ARIHANTSUP,29-MAY-2019,63.3,63.3,57.7,60.7,19049,107,60.45
ARMANFIN,29-MAY-2019,405.0,405.0,385.0,388.9,12017,323,403.5
AROGRANITE,29-MAY-2019,54.65,58.4,53.5,55.5,139190,1275,53.0
ARROWGREEN,29-MAY-2019,62.05,63.75,60.5,63.35,8465,170,62.95
ARROWTEX,29-MAY-2019,16.5,16.8,16.5,16.8,3113,55,16.35
ARSHIYA,29-MAY-2019,33.25,34.15,32.3,32.5,87086,520,32.6
ARSSINFRA,29-MAY-2019,42.5,44.85,42.3,42.7,7535,55,44.45
ARVIND,29-MAY-2019,77.7,77.7,75.8,76.2,1163511,8197,77.75
ARVINDFASN,29-MAY-2019,850.0,850.0,804.25,805.2,42586,3484,846.55
ARVSMART,29-MAY-2019,120.2,120.9,117.5,118.1,8407,283,120.2
ASAHIINDIA,29-MAY-2019,245.65,245.65,240.4,242.35,5379,166,243.15
ASAHISONG,29-MAY-2019,168.95,169.8,158.0,162.65,5283,201,165.1
ASAL,29-MAY-2019,52.0,54.0,50.75,52.7,3549,40,52.6
ASHAPURMIN,29-MAY-2019,23.95,24.2,22.55,24.1,46035,146,23.15
ASHIANA,29-MAY-2019,117.0,122.0,117.0,117.85,40586,481,117.55
ASHIMASYN,29-MAY-2019,11.6,12.45,11.6,11.9,70442,388,11.7
ASHOKA,29-MAY-2019,144.95,154.85,140.55,149.3,732154,8364,144.15
ASHOKLEY,29-MAY-2019,90.8,91.0,89.05,89.7,15951343,55615,91.2
ASIANHOTNR,29-MAY-2019,131.0,133.55,122.15,127.65,1944,152,132.45
ASIANPAINT,29-MAY-2019,1360.8,1366.95,1347.1,1358.25,582768,34705,1364.35
ASIANTILES,29-MAY-2019,244.1,245.55,236.45,242.5,172479,1932,249.2
ASLIND,29-MAY-2019,15.2,15.2,15.2,15.2,12000,1,15.1
ASPINWALL,29-MAY-2019,160.0,162.9,160.0,160.0,1590,30,161.95
ASSAMCO,29-MAY-2019,1.75,1.75,1.75,1.75,81552,84,1.8
ASTEC,29-MAY-2019,443.35,458.4,443.35,455.9,5377,396,457.1
ASTERDM,29-MAY-2019,146.7,155.0,146.05,151.85,95481,1879,146.95
ASTRAL,29-MAY-2019,1276.7,1314.65,1249.4,1294.1,294756,8313,1296.9
ASTRAMICRO,29-MAY-2019,93.3,93.5,91.1,91.75,153926,520,92.7
ASTRAZEN,29-MAY-2019,1989.0,2039.7,1981.1,1985.65,18871,2696,1999.15
ASTRON,29-MAY-2019,109.2,110.75,107.0,109.65,301382,1599,109.3
ATFL,29-MAY-2019,537.9,538.9,525.75,531.5,3601,235,529.85
ATLANTA,29-MAY-2019,14.6,14.9,14.4,14.55,15346,416,14.7
ATLASCYCLE,29-MAY-2019,50.1,54.0,49.5,51.0,16082,100,52.1
ATUL,29-MAY-2019,3955.0,3990.0,3880.0,3948.15,15810,4057,3932.75
ATULAUTO,29-MAY-2019,316.2,319.8,311.0,312.2,24419,659,313.6
AUBANK,29-MAY-2019,698.0,713.0,695.05,699.7,486667,16053,694.7
AURIONPRO,29-MAY-2019,131.5,138.0,128.65,131.25,12598,509,128.4
AUROPHARMA,29-MAY-2019,685.0,698.0,670.1,686.75,6191891,121600,674.7
AUSOMENT,29-MAY-2019,36.5,38.95,36.5,36.6,429,13,37.8
AUTOAXLES,29-MAY-2019,1161.2,1175.0,1141.0,1152.5,12245,1703,1160.7
AUTOIND,29-MAY-2019,49.0,49.55,47.5,48.6,9724,95,49.6
AUTOLITIND,29-MAY-2019,32.5,32.5,31.8,31.8,1567,23,33.35
AVADHSUGAR,29-MAY-2019,656.95,700.0,656.95,676.85,153734,5064,654.55
AVANTIFEED,29-MAY-2019,394.75,394.75,372.0,375.05,1050566,22412,393.95
AVONMPL,29-MAY-2019,28.9,29.0,28.9,29.0,4000,2,29.1
AVTNPL,29-MAY-2019,25.85,26.0,25.0,25.05,52551,317,25.1
AXISBANK,29-MAY-2019,806.75,813.0,802.1,804.7,5958128,107154,808.4
AXISCADES,29-MAY-2019,57.35,62.45,57.3,61.9,366624,2190,58.0
AXISGOLD,29-MAY-2019,2777.0,2807.9,2777.0,2801.35,321,86,2790.0
AXISNIFTY,29-MAY-2019,1220.98,1220.98,1210.81,1212.0,57,11,1212.63
AYMSYNTEX,29-MAY-2019,36.05,37.4,35.8,36.05,2828,50,37.05
BAFNAPHARM,29-MAY-2019,8.6,10.05,8.0,10.0,95125,267,8.4
BAGFILMS,29-MAY-2019,4.6,4.6,4.4,4.5,54437,153,4.5
BAJAJ-AUTO,29-MAY-2019,2990.0,2990.0,2920.0,2925.5,531761,36485,2988.0
BAJAJCON,29-MAY-2019,340.1,343.65,336.0,339.35,27562,2996,344.5
BAJAJELEC,29-MAY-2019,541.3,556.8,538.65,543.7,192108,5958,544.35
BAJAJFINSV,29-MAY-2019,8128.4,8160.0,8055.15,8131.75,106040,12554,8128.55
BAJAJHIND,29-MAY-2019,9.45,9.45,8.85,8.95,2130586,2092,9.4
BAJAJHLDNG,29-MAY-2019,3513.75,3521.95,3469.0,3507.1,23639,1993,3513.75
BAJFINANCE,29-MAY-2019,3403.0,3433.0,3384.5,3409.25,921278,53275,3409.8
BALAJITELE,29-MAY-2019,76.0,76.6,71.7,72.65,29948,467,75.45
BALAMINES,29-MAY-2019,412.4,417.0,393.7,399.15,81173,2001,409.1
BALAXI,29-MAY-2019,92.5,92.5,87.9,89.25,9122,76,92.5
BALKRISHNA,29-MAY-2019,37.5,38.2,37.0,37.15,13317,139,37.05
BALKRISIND,29-MAY-2019,835.5,839.9,810.25,812.65,540671,19127,834.95
BALLARPUR,29-MAY-2019,2.6,2.7,2.55,2.65,1022032,387,2.6
BALMLAWRIE,29-MAY-2019,195.0,203.0,192.3,201.65,630489,7855,187.45
BALPHARMA,29-MAY-2019,69.65,69.7,67.35,68.65,6668,217,69.0
BALRAMCHIN,29-MAY-2019,154.3,154.6,151.55,152.3,1051708,22743,155.65
BANARBEADS,29-MAY-2019,51.9,51.95,50.5,50.85,453,36,51.1
BANARISUG,29-MAY-2019,1404.95,1413.05,1375.0,1403.35,607,93,1395.6
BANCOINDIA,29-MAY-2019,151.95,154.85,150.45,150.9,28916,591,152.1
BANDHANBNK,29-MAY-2019,597.85,602.1,586.3,589.0,299690,8806,595.0
BANG,29-MAY-2019,44.8,45.4,43.0,43.9,17231,123,44.0
BANKA,29-MAY-2019,97.0,97.0,97.0,97.0,1200,1,92.4
BANKBARODA,29-MAY-2019,139.05,139.1,135.7,136.35,16932356,71514,139.8
BANKBEES,29-MAY-2019,3209.9,3213.0,3174.5,3183.83,3595,676,3219.07
BANKINDIA,29-MAY-2019,98.9,98.9,96.0,96.4,5351808,20370,99.1
BANSAL,29-MAY-2019,6.4,6.4,6.4,6.4,5000,4,6.7
BANSWRAS,29-MAY-2019,74.0,74.1,72.0,72.25,933,27,75.0
BARTRONICS,29-MAY-2019,5.8,6.0,5.8,5.85,13407,72,6.0
BASF,29-MAY-2019,1410.0,1410.0,1386.85,1393.4,3983,656,1403.3
BASML,29-MAY-2019,178.0,185.0,178.0,183.0,168,12,186.55
BATAINDIA,29-MAY-2019,1319.0,1329.85,1313.25,1317.35,746389,24847,1314.0
BAYERCROP,29-MAY-2019,3899.4,3920.0,3819.15,3886.65,3968,1397,3905.55
BBL,29-MAY-2019,1124.65,1124.65,1094.0,1095.2,5215,556,1118.8
BBTC,29-MAY-2019,1134.0,1162.0,1116.35,1148.8,236792,11203,1127.85
BCG,29-MAY-2019,5.1,5.2,5.1,5.1,59768,92,5.35
BDL,29-MAY-2019,332.9,332.9,322.0,322.9,36385,1624,329.85
BEARDSELL,29-MAY-2019,14.85,15.6,14.6,15.15,1918,42,14.8
BEDMUTHA,29-MAY-2019,16.9,16.9,15.5,16.0,5637,39,16.7
BEL,29-MAY-2019,113.3,113.65,110.0,112.2,10881424,36226,112.75
BEML,29-MAY-2019,998.15,1009.4,978.25,984.4,1025067,22603,1009.4
BEPL,29-MAY-2019,74.15,76.6,69.65,71.45,878697,5560,74.15
BERGEPAINT,29-MAY-2019,303.9,304.5,296.3,301.3,1333377,13569,303.25
BETA,29-MAY-2019,90.0,91.9,90.0,91.0,13600,8,88.0
BFINVEST,29-MAY-2019,255.95,271.3,252.0,260.95,131123,3220,255.25
