SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
GOKUL,18-DEC-2019,13.1,13.6,12.8,13.0,192,5,13.05
GOKULAGRO,18-DEC-2019,12.55,13.3,12.5,13.1,53635,171,12.45
GOLDBEES,18-DEC-2019,3370.1,3370.1,3351.1,3359.6,4386,824,3350.3
GOLDENTOBC,18-DEC-2019,29.85,29.85,27.35,27.7,1367,22,28.45
GOLDIAM,18-DEC-2019,137.0,142.4,135.65,139.6,33573,936,136.0
GOLDSHARE,18-DEC-2019,3375.0,3375.0,3361.5,3366.5,317,79,3359.15
GOLDTECH,18-DEC-2019,9.0,9.0,8.75,8.75,7606,58,8.8
GOODLUCK,18-DEC-2019,43.0,45.0,40.2,44.3,38698,860,41.9
GPIL,18-DEC-2019,180.45,208.45,177.05,198.4,736532,16134,181.2
GPPL,18-DEC-2019,82.95,85.35,82.6,84.05,136917,1517,82.75
GPTINFRA,18-DEC-2019,38.6,40.8,37.75,40.15,948,141,40.65
GRANULES,18-DEC-2019,126.95,128.5,126.35,128.05,340697,5478,126.35
GRAPHITE,18-DEC-2019,306.0,312.9,305.25,309.25,1581257,20676,307.2
GRASIM,18-DEC-2019,773.6,776.4,751.5,754.2,1674043,36207,768.8
GRAVITA,18-DEC-2019,42.5,44.4,41.0,41.2,64854,598,42.7
GREAVESCOT,18-DEC-2019,125.45,132.2,125.45,131.7,169600,4113,126.4
GREENLAM,18-DEC-2019,975.95,980.1,952.25,955.55,1613,253,977.6
GREENPANEL,18-DEC-2019,44.5,45.0,44.35,44.4,240746,369,44.8
GREENPLY,18-DEC-2019,161.0,161.95,158.5,161.25,24069,594,160.65
GREENPOWER,18-DEC-2019,2.1,2.1,1.9,1.95,63559,99,2.0
GRINDWELL,18-DEC-2019,579.0,579.0,572.15,575.05,5020,331,579.05
GROBTEA,18-DEC-2019,460.0,482.7,437.0,482.6,643,43,459.75
GRPLTD,18-DEC-2019,801.05,844.95,778.0,795.05,83,48,814.9
GRSE,18-DEC-2019,201.6,201.65,196.25,197.3,120732,2844,200.85
GSCLCEMENT,18-DEC-2019,18.2,18.4,18.0,18.2,29412,92,18.2
