SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
20MICRONS,25-JUL-2019,35.35,36.5,34.75,35.1,5732,165,35.95
21STCENMGM,25-JUL-2019,15.65,15.65,15.65,15.65,500,10,15.95
3IINFOTECH,25-JUL-2019,2.55,2.55,2.4,2.45,1490578,748,2.55
3MINDIA,25-JUL-2019,21620.5,21688.0,21102.0,21162.15,1060,449,21454.2
3PLAND,25-JUL-2019,7.5,7.5,7.5,7.5,1001,3,7.85
5PAISA,25-JUL-2019,209.9,212.85,195.9,196.6,18437,593,202.75
63MOONS,25-JUL-2019,88.3,93.8,88.3,92.9,163307,1992,89.35
726GS2029,25-JUL-2019,95.0,95.0,95.0,95.0,200,1,100.0
8KMILES,25-JUL-2019,69.8,70.5,69.8,69.8,121043,520,73.45
A2ZINFRA,25-JUL-2019,10.3,10.6,9.95,10.35,784999,885,10.25
AARON,25-JUL-2019,48.8,48.8,48.8,48.8,3000,1,48.7
AARTIDRUGS,25-JUL-2019,476.5,486.0,476.5,484.25,3072,316,481.3
AARTIIND,25-JUL-2019,1629.7,1678.8,1626.25,1648.05,43092,3412,1629.7
AARVEEDEN,25-JUL-2019,17.0,17.9,16.4,16.75,1442,51,17.15
AARVI,25-JUL-2019,35.5,35.5,35.5,35.5,4000,2,35.45
AAVAS,25-JUL-2019,1455.2,1488.0,1455.15,1469.5,53725,4646,1455.2
ABAN,25-JUL-2019,32.6,32.6,31.1,31.5,59354,687,31.9
ABB,25-JUL-2019,1380.0,1413.9,1366.1,1402.8,445967,6493,1361.95
ABBOTINDIA,25-JUL-2019,8531.0,8684.8,8531.0,8599.35,4899,493,8629.0
ABCAPITAL,25-JUL-2019,84.2,86.35,83.65,85.9,1055567,20953,84.2
ABFRL,25-JUL-2019,202.1,206.7,202.0,204.95,260515,13620,204.05
ABINFRA,25-JUL-2019,23.15,25.1,23.15,25.1,408000,35,24.25
ABSLNN50ET,25-JUL-2019,280.0,280.0,261.93,261.93,54,6,260.77
