SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
BBL,29-NOV-2018,1121.05,1145.0,1112.0,1123.55,8295,755,1115.1
BBTC,29-NOV-2018,1330.1,1348.0,1329.25,1332.05,49582,2782,1327.1
BBTCL,29-NOV-2018,48.0,48.0,48.0,48.0,3000,1,47.5
BCG,29-NOV-2018,3.3,3.4,2.95,3.05,2551460,1616,3.25
BCONCEPTS,29-NOV-2018,42.5,43.0,42.5,43.0,6000,2,41.0
BDL,29-NOV-2018,280.0,280.0,274.25,277.2,12912,1203,277.25
BEARDSELL,29-NOV-2018,25.5,26.6,24.7,25.1,759,18,26.0
BEDMUTHA,29-NOV-2018,26.0,26.3,23.8,23.8,25273,91,25.05
BEL,29-NOV-2018,89.0,89.2,83.5,84.8,26727484,119939,88.7
BEML,29-NOV-2018,777.55,788.0,762.65,764.95,1171900,25331,775.2
BEPL,29-NOV-2018,75.6,76.95,69.0,71.95,768870,5726,75.5
BERGEPAINT,29-NOV-2018,316.05,321.0,314.7,319.85,640573,6870,313.35
BETA,29-NOV-2018,71.0,77.0,68.25,72.75,76800,52,75.85
BFINVEST,29-NOV-2018,261.8,269.3,258.5,259.5,118807,3431,259.7
BFUTILITIE,29-NOV-2018,215.65,218.45,211.25,213.05,321460,8247,214.05
BGLOBAL,29-NOV-2018,2.45,2.55,2.35,2.4,5522,11,2.45
BGRENERGY,29-NOV-2018,60.9,61.8,60.15,60.9,125501,2422,60.9
BHAGERIA,29-NOV-2018,283.55,288.1,280.4,285.85,5548,370,284.85
BHAGYANGR,29-NOV-2018,30.05,30.55,28.7,30.15,10618,168,30.2
BHAGYAPROP,29-NOV-2018,25.85,26.5,25.85,26.5,3010,10,26.25
BHANDARI,29-NOV-2018,2.0,2.0,1.85,1.9,306261,246,2.0
BHARATFIN,29-NOV-2018,1011.0,1042.0,1005.55,1034.0,2354922,40433,1001.1
BHARATFORG,29-NOV-2018,569.1,574.9,564.0,572.15,1094642,28927,565.7
BHARATGEAR,29-NOV-2018,162.4,167.0,162.4,163.3,16492,541,163.0
BHARATIDIL,29-NOV-2018,4.4,4.4,4.0,4.2,16154,61,4.2
BHARATRAS,29-NOV-2018,5383.05,5449.0,5380.0,5407.95,437,184,5406.5
BHARATWIRE,29-NOV-2018,70.9,71.55,70.2,71.35,7423,76,70.05
BHARTIARTL,29-NOV-2018,321.0,322.0,312.0,317.2,8307218,58702,314.1
BHEL,29-NOV-2018,67.2,68.8,65.7,68.2,10339738,24362,67.0
BHUSANSTL,29-NOV-2018,27.8,27.8,27.1,27.3,806642,3167,26.8
BIGBLOC,29-NOV-2018,46.6,47.5,45.95,46.75,10275,174,46.55
BIL,29-NOV-2018,229.05,236.0,216.9,223.05,2675,135,229.05
BILENERGY,29-NOV-2018,0.5,0.5,0.45,0.5,308421,88,0.45
BINANIIND,29-NOV-2018,79.6,80.45,76.75,77.65,23580,768,79.45
BINDALAGRO,29-NOV-2018,19.45,19.65,18.6,18.75,9158,133,18.85
