SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
EQ,SHREECEM,SHREE CEMENT LIMITED,25/02/2020, , ,24/02/2020, , ,INTERIM DIVIDEND         
EQ,TVSMOTOR,TVS Motor Company Limited,12/02/2020, , ,11/02/2020, , ,INTERIM DIVIDEND         
EQ,NTPC,NTPC Limited,17/02/2020, , ,14/02/2020, , ,INTERIM DIVIDEND         
EQ,ZENSARTECH,Zensar Technologies -Depo,07/02/2020, , ,06/02/2020, , ,INT DIV-RE 1 PER SH      
EQ,CCL,CCL Products (I) Ltd,07/02/2020, , ,06/02/2020, , ,INT DIV-RS 2 PER SH      
EQ,GODREJCP,Godrej Cons Products Ltd ,06/02/2020, , ,05/02/2020, , ,INT DIV-RS 2 PER SH      
EQ,NIITTECH,NIIT Technologies Limited,10/02/2020, , ,07/02/2020, , ,INT DIV-RS 10 PER SH     
EQ,PRATIBHA,Pratibha Industries Limit, ,03/02/2020,10/02/2020,30/01/2020, , ,ANNUAL GENERAL MEETING   
EQ,MARICO,Marico Limited,07/02/2020, , ,06/02/2020, , ,INT DIV-RS 3.25 PER SH   
EQ,KKCL,Kewal Kiran Clothing Limi,07/02/2020, , ,06/02/2020, , ,INT DIV-RS 15 PER SH     
EQ,CUMMINSIND,Cummins India Limited,10/02/2020, , ,07/02/2020, , ,INT DIV-RS 7 PER SH      
EQ,PAGEIND,Page Industries Limited,22/02/2020, , ,18/02/2020, , ,INTERIM DIVIDEND         
EQ,KPRMILL,K.P.R. Mill Limited,12/02/2020, , ,11/02/2020, , ,INTERIM DIVIDEND         
EQ,MOTILALOFS,Motilal Oswal Financial S,03/02/2020, , ,31/01/2020, , ,INT DIV-RS 4 PER SH      
EQ,SELAN,Selan Exploration Technol,15/02/2020, , ,13/02/2020, , ,INTERIM DIVIDEND         
EQ,TIDEWATER,Tide Water Oil Co. (India,25/02/2020, , ,24/02/2020, , ,INTERIM DIVIDEND         
EQ,BAJAJELEC,Bajaj Electricals Limited,06/02/2020, , ,05/02/2020, , ,RIGHTS 13:118@PRM RS308  
EQ,DLF,DLF Limited,13/02/2020, , ,12/02/2020, , ,INTERIM DIVIDEND         
EQ,ARROWTEX,Arrow Textiles Limited,07/02/2020, , , , , ,SCHEME OF AMALGAMATION   
EQ,VINATIORGA,Vinati Organics Limited,06/02/2020, , ,05/02/2020, , ,FV SPLT FRM RS 2 TO RS 1 
EQ,DBCORP,D.B.Corp Ltd,04/02/2020, , ,03/02/2020, , ,INT DIV-RS 3.5 PER SH    
EQ,ALKALI,Alkali Metals Limited,06/02/2020, , ,05/02/2020, , ,INT DIV-RS 1 PER SH      
EQ,RECLTD,Rural Electrification Cor,12/02/2020, , ,11/02/2020, , ,INTERIM DIVIDEND         
EQ,VALUEIND,Value Industries Limited, ,28/01/2020,04/02/2020,24/01/2020, , ,ANNUAL GENERAL MEETING   
EQ,RBL,Rane Brake Lining Limited,04/02/2020, , ,03/02/2020, , ,INT DIV-RS 6 PER SH      
EQ,PERSISTENT,Persistent Systems Ltd,07/02/2020, , ,06/02/2020, , ,INT DIV-RS 9 PER SH      
EQ,MANAPPURAM,Manappuram Finance Ltd,07/02/2020, , ,06/02/2020, , ,INT DIV-RS 0.55 PER SHARE
EQ,TI,Tilaknagar Industries Ltd,15/02/2020, , ,13/02/2020, , ,EGM                      
EQ,MAANALU,Maan Aluminium Limited,20/02/2020, , ,18/02/2020, , ,INTERIM DIVIDEND         
EQ,ACCELYA,Accelya Soln India Ltd,06/02/2020, , ,05/02/2020, , ,INT DIV-RS 10 PER SH     
EQ,BROOKS,Brooks Lab Limited,12/02/2020, , ,11/02/2020, , ,RIGHTS 9:20@PRM RS 10    
EQ,SYMPHONY,Symphony Limited,19/02/2020, , ,17/02/2020, , ,INTERIM DIVIDEND         
EQ,VAIBHAVGBL,Vaibhav Gems Limited,10/02/2020, , ,07/02/2020, , ,INT DIV-RS 7 PER SH      
EQ,DCMSHRIRAM,DCM Shriram Limited,07/02/2020, , ,06/02/2020, , ,INT DIV-RS 4.20 PER SH   
EQ,SHARDACROP,Sharda Cropchem Limited,03/02/2020, , ,31/01/2020, , ,INT DIV-RS 2 PER SH      
EQ,ALKEM,Alkem Laboratories Ltd.,15/02/2020, , ,13/02/2020, , ,INTERIM DIVIDEND         
EQ,SHRIPISTON,Shriram Pist. & Ring Ltd,06/02/2020, , ,05/02/2020, , ,INT DIV-RS 3 PER SH      
EQ,CONTROLPR,Control Print Limited,05/02/2020, , ,04/02/2020, , ,INT DIV-RS3.5 PER SH     
EQ,TCIEXP,TCI Express Limited,04/02/2020, , ,03/02/2020, , ,INT DIV-RS 1.5 PER SH    
EQ,VIDHIING,Vidhi Spl Food Ingred Ltd,21/02/2020, , ,18/02/2020, , ,INTERIM DIVIDEND         
EQ,ORIENTELEC,Orient Electric Limited,07/02/2020, , ,06/02/2020, , ,INT DIV-RS 0.65 PER SHARE
EQ,NAM-INDIA,Nippon L I A M Ltd,04/02/2020, , ,03/02/2020, , ,INT DIV-RS 3 PER SH      
EQ,KPITTECH,KPIT Technologies Limited,18/02/2020, , ,17/02/2020, , ,INT DIV-RS 0.55 PER SH   
EQ,BSOFT,BIRLASOFT LIMITED,10/02/2020, , ,07/02/2020, , ,INTERIM DIVIDEND         
EQ,SATIA,Satia Industries Limited,22/02/2020, , ,18/02/2020, , ,INTERIM DIVIDEND         
GS,824GS2027,GOI LOAN 8.24%2027,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
