GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
L,AUROBINDO PHARMA LTD,       467.50,       481.40,-2.89
L,SHREE CEMENT LIMITED,     22416.10,     23006.90,-2.57
L,NHPC LTD,        23.90,        24.50,-2.45
L,BIOCON LIMITED.,       287.25,       294.35,-2.41
L,PUNJAB NATIONAL BANK,        59.00,        60.45,-2.4
L,BANDHAN BANK LIMITED,       440.75,       450.35,-2.13
 , , , , 
 ,OTHER SECURITIES, , , 
 , , , , 
G,SHAKTI PUMPS (I) LTD,       292.70,       243.95,19.98
G,SEC RED NCD 8.88% SR. 2B,       227.00,       189.90,19.54
G,SEC RED NCD 9.15% SR. 2B,       279.50,       242.00,15.5
G,SEC RED NCD 9.25% SR. 5B,       276.50,       245.00,12.86
G,GTL INFRA.LTD,          .45,          .40,12.5
G,9.35% SRNCD SR V B,       965.90,       861.00,12.18
G,MAHESHWARI LOGISTICS LTD.,       301.05,       270.50,11.29
G,SHILPA MEDICARE LTD,       293.95,       266.15,10.45
G,IDBI BANK LIMITED,        37.25,        33.80,10.21
G,PSL LIMITED,          .55,          .50,10
G,SUNDARMAMC - M17RG,         6.41,         5.84,9.76
G,GRP LIMITED,       908.60,       834.50,8.88
G,HDFCAMC - HDFCSENETF,      4619.26,      4315.24,7.05
G,MADHAV MARBLE & GRANITE,        35.85,        33.60,6.7
G,7.35% TAX FREE TRI SRIIA,      1500.00,      1407.50,6.57
G,BANARAS BEADS LTD,        39.50,        37.15,6.33
G,SYNCOM HEALTHCARE LTD,          .85,          .80,6.25
G,SETUBANDHAN INFRA LTD,          .95,          .90,5.56
G,CIL NOVA PETROCHEM LTD,         7.70,         7.30,5.48
G,HPL ELECTRIC & POWER LTD,        44.60,        42.30,5.44
G,WATERBASE LIMITED,       145.15,       137.85,5.3
G,2.50%GOLDBONDS2027SR-II,      4000.00,      3800.00,5.26
G,MERCATOR LIMITED,         1.00,          .95,5.26
G,GOI LOAN 7.40% 2035,       104.21,        99.25,5
G,KEYNOTE FIN SERV LTD.,        42.20,        40.20,4.98
G,SECUR CREDENTIALS LIMITED,        30.65,        29.20,4.97
G,PROLIFE INDUSTRIES LTD,        28.70,        27.35,4.94
G,SIMPLEX INFRASTRUCTURES L,        42.65,        40.65,4.92
G,JAIN IRRIGATION SYSTEMS,         7.50,         7.15,4.9
G,JAIN DVR EQUITY SHARES,         7.55,         7.20,4.86
 , , , , 
L,PRAKASH STEELAGE LTD,          .20,          .25,-20
L,OMAX AUTOS LTD,        37.35,        45.15,-17.28
L,MAX FINANCIAL SERV LTD,       437.10,       506.40,-13.68
L,FACT LTD,        41.75,        48.20,-13.38
L,COX & KINGS FIN SERV LTD,          .35,          .40,-12.5
L,AJMERA REALTY & INF I LTD,       129.65,       145.25,-10.74
L,MARATHON NXTGEN REALT LTD,        87.95,        98.40,-10.62
L,VINATI ORGANICS LTD,      1988.70,      2223.70,-10.57
L,SAREGAMA INDIA LIMITED,       376.00,       420.25,-10.53
L,SPECIALITY REST LTD,        55.95,        62.50,-10.48
L,SEC RED NCD 9.75% SR. III,       900.10,      1000.00,-9.99
L,GENUS P&B LIMITED,         5.90,         6.55,-9.92
L,KOLTE PATIL DEV. LTD.,       239.35,       265.70,-9.92
L,BOMBAY DYEING & MFG. CO L,        85.15,        94.45,-9.85
L,MADRAS FERTILISERS LTD,        19.10,        21.10,-9.48
L,PURAVANKARA LIMITED,        61.05,        67.40,-9.42
L,SUN PHARMA ADV.RES.CO.LTD,       176.90,       194.80,-9.19
L,TAINWALA CHEMICAL AND PLA,        62.55,        68.80,-9.08
L,PRESTIGE ESTATE LTD,       348.65,       383.30,-9.04
L,RAIL VIKAS NIGAM LIMITED,        24.90,        27.35,-8.96
L,SOMI CONVEYOR BELT. LTD.,        14.65,        16.05,-8.72
L,RPG LIFE SCIENCES LTD,       285.40,       312.10,-8.55
L,MALU PAPER MILLS LIMITED,        31.75,        34.65,-8.37
L,GODREJ PROPERTIES LTD,       989.90,      1080.30,-8.37
L,PAISALO DIGITAL LIMITED,       239.80,       261.65,-8.35
L,SOMANY HOM INNOVATION LTD,       145.25,       158.45,-8.33
L,TITAGARH WAGONS LTD.,        47.45,        51.75,-8.31
L,HINDUSTAN CONSTRUCTION CO,        10.00,        10.90,-8.26
L,SUBEX LIMITED,         5.60,         6.10,-8.2
L,PARAG MILK FOODS LTD.,       127.75,       139.10,-8.16
