GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,TATA CONSULTANCY SERV LT,      2164.85,      2079.05,4.13
G,HINDUSTAN UNILEVER LTD.,      2074.90,      2034.25,2
G,TECH MAHINDRA LIMITED,       807.55,       796.60,1.37
G,NESTLE INDIA LIMITED,     15524.75,     15359.45,1.08
G,INFOSYS LIMITED,       779.50,       775.95,.46
G,DR. REDDY'S LABORATORIES,      3123.05,      3114.50,.27
G,BHARTI AIRTEL LIMITED,       497.20,       496.45,.15
G,WIPRO LTD,       236.80,       236.80,0
 , , , , 
L,ITC LTD,       219.00,       235.15,-6.87
L,TATA MOTORS LIMITED,       165.60,       176.60,-6.23
L,HDFC LTD,      2268.25,      2414.00,-6.04
L,ZEE ENTERTAINMENT ENT LTD,       252.95,       269.15,-6.02
L,LARSEN & TOUBRO LTD.,      1287.40,      1369.30,-5.98
L,BAJAJ FINSERV LTD.,      8947.40,      9441.40,-5.23
L,STATE BANK OF INDIA,       302.60,       318.45,-4.98
L,COAL INDIA LTD,       173.50,       181.70,-4.51
L,UPL LIMITED,       503.65,       526.55,-4.35
L,OIL AND NATURAL GAS CORP.,       104.35,       108.95,-4.22
L,INDIAN OIL CORP LTD,       108.90,       113.45,-4.01
L,ICICI BANK LTD.,       504.60,       525.65,-4
L,MAHINDRA & MAHINDRA LTD,       545.20,       567.15,-3.87
L,INDUSIND BANK LIMITED,      1211.10,      1258.85,-3.79
L,YES BANK LIMITED,        37.90,        39.25,-3.44
L,ULTRATECH CEMENT LIMITED,      4265.25,      4416.10,-3.42
L,TATA STEEL LIMITED,       423.80,       438.70,-3.4
L,AXIS BANK LIMITED,       705.45,       729.30,-3.27
L,BRITANNIA INDUSTRIES LTD,      3097.60,      3200.70,-3.22
L,NTPC LTD,       109.30,       112.85,-3.15
L,BHARAT PETROLEUM CORP  LT,       443.50,       456.95,-2.94
L,SUN PHARMACEUTICAL IND L,       422.80,       434.30,-2.65
L,HINDALCO  INDUSTRIES  LTD,       184.40,       189.35,-2.61
L,KOTAK MAHINDRA BANK LTD,      1647.95,      1691.75,-2.59
L,GRASIM INDUSTRIES LTD,       759.40,       778.90,-2.5
L,POWER GRID CORP. LTD.,       182.40,       186.85,-2.38
L,JSW STEEL LIMITED,       244.75,       250.70,-2.37
L,GAIL (INDIA) LTD,       117.70,       120.45,-2.28
L,HDFC BANK LTD,      1198.70,      1226.30,-2.25
L,ASIAN PAINTS LIMITED,      1755.35,      1795.65,-2.24
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,P&G HYGIENE & HEALTH CARE,     11984.65,     10991.75,9.03
G,BAJAJ HOLDINGS & INVS LTD,      3525.65,      3454.30,2.07
G,DIVI'S LABORATORIES LTD,      1986.90,      1952.30,1.77
G,UNITED BREWERIES LTD,      1279.75,      1264.00,1.25
G,ORACLE FIN SERV SOFT LTD.,      2971.20,      2940.55,1.04
G,UNITED SPIRITS LIMITED,       622.85,       619.00,0.62
 , , , , 
L,DLF LIMITED,       228.90,       260.45,-12.11
L,ICICI PRU LIFE INS CO LTD,       451.35,       510.95,-11.66
L,NMDC LTD.,       104.90,       116.95,-10.3
L,SBI LIFE INSURANCE CO LTD,       893.10,       994.10,-10.16
L,INDIABULLS HSG FIN LTD,       278.30,       306.40,-9.17
L,THE NEW INDIA ASSU CO LTD,       144.05,       155.50,-7.36
L,L&T FINANCE HOLDINGS LTD,       109.95,       117.15,-6.15
L,HDFC LIFE INS CO LTD,       562.40,       599.20,-6.14
L,PIRAMAL ENTERPRISES LTD,      1451.00,      1545.25,-6.1
L,ASHOK LEYLAND LTD,        77.15,        81.95,-5.86
L,SIEMENS LTD,      1416.30,      1500.25,-5.6
L,POWER FIN CORP LTD.,       110.20,       116.65,-5.53
L,ACC LIMITED,      1426.60,      1504.60,-5.18
L,AMBUJA CEMENTS LTD,       195.35,       204.50,-4.47
L,CONTAINER CORP OF IND LTD,       542.75,       567.00,-4.28
L,MOTHERSON SUMI SYSTEMS LT,       128.25,       133.70,-4.08
L,GENERAL INS CORP OF INDIA,       240.35,       250.00,-3.86
L,HDFC AMC LIMITED,      3054.90,      3174.20,-3.76
L,BANK OF BARODA,        89.30,        92.70,-3.67
L,MARICO LIMITED,       304.65,       315.35,-3.39
L,HINDUSTAN PETROLEUM CORP,       224.70,       232.45,-3.33
L,SHRIRAM TRANSPORT FIN CO.,       987.65,      1020.55,-3.22
L,PAGE INDUSTRIES LTD,     23691.85,     24437.75,-3.05
L,AVENUE SUPERMARTS LIMITED,      2072.05,      2133.95,-2.9
