MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ICICIBANKP,ICICIPRAMC - ICICIBANKP,       170.48,       169.70,       170.14,       165.00,       165.58,                   643504.25,3826,105,       185.50,       140.00,NIFTY PRIVATE BANK INDEX
N,EQ,ICICIGOLD,ICICI PRUDENTIAL GOLD ETF,        36.64,        38.10,        38.10,        35.00,        36.91,                  1111381.40,30106,652,        40.50,        24.50,GOLD
N,EQ,ICICILIQ,ICICIPRAMC - ICICILIQ,       999.99,       999.95,      1000.00,       999.95,       999.99,                 11927981.56,11928,38,      1200.00,       810.90,S&P BSE LIQUID RATE INDEX
N,EQ,ICICILOVOL,ICICI PR NIF LW VL 30 ETF,        91.99,        93.70,        93.70,        90.06,        90.44,                   396002.00,4356,165,       107.80,        72.30,NIFTY 100 LOW VOLATILITY 30 INDEX
N,EQ,ICICIM150,ICICIPRAMC - ICICIM150,        66.91,        67.18,        67.18,        65.50,        65.74,                   517147.30,7787,326,        72.00,        62.15,NIFTY MIDCAP 150
N,EQ,ICICIMCAP,ICICI PRUD MIDCAP SEL ETF,        67.72,        67.57,        68.75,        66.20,        66.50,                  1951343.72,29229,419,        79.00,        56.00,S&P BSE MIDCAP SELECT INDEX
N,EQ,ICICINF100,ICICI PRUD NIFTY 100 ETF,       129.94,       129.50,       130.55,       126.40,       126.90,                   612716.85,4803,127,       150.00,       110.00,NIFTY 100
N,EQ,ICICINIFTY,ICICI PRUD NIFTY ETF,       126.24,       126.80,       126.80,       122.45,       122.96,                623307239.85,4965002,7759,       141.00,       104.90,NIFTY50
N,EQ,ICICINV20,ICICI PRUDENTIAL NV20 ETF,        56.41,        57.40,        57.40,        56.11,        56.42,                   254802.73,4511,272,        68.50,        43.10,NIFTY50 VALUE 20
N,EQ,ICICINXT50,ICICIPRAMC - ICICINXT50,        28.65,        28.00,        28.95,        27.60,        27.79,                  1501017.74,53410,414,        30.77,        23.00,NIFTY NEXT 50 ETF
N,EQ,ICICISENSX,ICICI PRUD SENSEX ETF,       435.11,       434.54,       437.00,       424.00,       425.02,                  2571412.30,5948,321,       515.00,       335.95,SENSEX
N,EQ,IDBIGOLD,IDBI MF - IDBI GOLD ETF,      3740.00,      3742.05,      3760.05,      3742.05,      3752.00,                   146262.05,39,12,      4000.00,      2892.20,GOLD
N,EQ,IDFNIFTYET,IDFCAMC - IDFNIFTYET,       127.00,       129.00,       133.00,       119.20,       120.19,                    14047.60,112,18,       134.50,       103.92,NIFTY 50
N,EQ,INFRABEES,NIPP INDIA ETF INFRA BEES,       337.55,       343.00,       353.90,       336.95,       350.64,                    53808.91,156,53,       373.50,       286.57,NIFTY INFRA
N,EQ,IVZINGOLD,INVESCO INDIA GOLD ETF,      3700.00,      3720.00,      3775.00,      3720.00,      3775.00,                    59680.00,16,4,      4193.30,      2800.00,GOLD
N,EQ,IVZINNIFTY,INVESCO INDIA NIFTY ETF,      1303.90,      1316.00,      1336.00,      1316.00,      1330.00,                     6644.00,5,5,      1340.00,      1098.00,NIFTY
N,EQ,JUNIORBEES,NIP INDIA ETF JUNIOR BEES,       294.63,       295.88,       297.06,       285.20,       286.27,                 20478856.88,70620,3089,       333.00,       257.30,NIFTY NEXT 50
N,EQ,KOTAKBKETF,KOTAKMAMC-KOTAKBKETF,       317.49,       318.06,       318.06,       306.11,       307.75,               1260812556.81,3974192,1530,       368.00,       266.70,NIFTY BANK
N,EQ,KOTAKGOLD,KOTAK GOLD ETF,       359.05,       351.90,       364.40,       312.40,       362.35,                  6093571.85,17118,608,       368.50,       275.05,GOLD
N,EQ,KOTAKNIFTY,KOTAK NIFTY ETF,       124.00,       123.81,       125.00,       122.31,       122.77,                 29465692.39,237019,1290,       149.30,       105.00,NIFTY 50
N,EQ,KOTAKNV20,KOTAKMAMC - KTKNV20ETF,        57.44,        58.90,        59.99,        56.80,        57.44,                   983334.31,17007,164,        69.00,        52.25,NIFTY50 VALUE 20
N,EQ,KOTAKPSUBK,KOTAK PSU BANK,       234.03,       235.00,       237.55,       223.00,       225.64,                  1174306.94,5064,252,       355.00,       211.70,NIFTY PSU BANK INDEX
N,EQ,LICNETFGSC,LICNAMC - LICNMFET,        18.94,        19.38,        19.38,        18.61,        18.99,                    14740.01,771,38,        23.75,        16.25,GSEC 10 NSE INDEX
N,EQ,LICNETFN50,LICNAMC - LICNFENGP,       121.82,       122.00,       123.00,       112.01,       116.26,                   195240.67,1670,185,       148.00,       101.00,NIFTY 50
N,EQ,LICNETFSEN,LICNAMC - LICNFESGP,       514.00,       490.00,       514.50,       481.00,       484.00,                     4933.49,10,6,       525.00,       354.00,SENSEX
N,EQ,LICNFNHGP,LICNAMC - LICNFNHGP,       121.01,       124.50,       129.90,       121.50,       122.99,                    10527.66,84,23,       136.00,       101.00,LIC MF EXCHANGE TRADED FUND- NIFTY 100
N,EQ,LIQUIDBEES,NIP IND ETF LIQUID BEES,      1000.00,      1000.00,      1000.01,       999.60,      1000.00,                858625118.90,858623,3255,      1010.00,       991.56,CALL MONEY SHORT TERM G-SECS & MONEY MARKET INSTR
N,EQ,LIQUIDETF,DSP LIQUID ETF,      1000.00,      1000.00,      1000.01,       999.99,       999.99,                 17450851.41,17451,349,      1000.06,       875.00,NIFTY1D RATE INDEX
N,EQ,M100,MOST SHARES M100 ETF,        18.94,        18.85,        19.43,        18.80,        18.99,                  1949446.23,102370,344,        21.00,        14.80,NIFTY MIDCAP 100
N,EQ,M50,MOST SHARES M50 ETF,       117.79,       118.56,       120.50,       116.00,       116.82,                    43690.74,373,22,       122.95,        95.10,NIFTY 50
N,EQ,MAN50ETF,MIRAEAMC - MAN50ETF,       121.38,       120.80,       121.90,       118.00,       118.60,                  3361197.75,28121,961,       135.00,       100.10,NIFTY 50
N,EQ,MANXT50,MIRAEAMC - MANXT50,       284.67,       283.50,       286.50,       272.50,       274.31,                  1650856.79,5880,86,       338.00,       241.07,NIFTY NEXT 50
N,EQ,N100,MOST SHARES N100 ETF,       648.65,       645.95,       646.95,       635.00,       638.13,                  4928492.52,7719,693,       660.00,       460.00,NASDAQ100
N,EQ,NETF,TATAAML - NETF,       121.03,       119.46,       119.46,       118.80,       118.80,                     2742.30,23,4,       132.00,       103.10,NIFTY 50
N,EQ,NETFCONSUM,NIPPO IND ETF CONSUMPTION,        54.25,        55.90,        56.80,        53.36,        53.36,                   180422.04,3297,46,        61.00,        45.00,NIFTY CONSUMPTION INDEX
N,EQ,NETFDIVOPP,NIP ETF DIV OPPORTUNITIES,        29.17,        28.94,        29.09,        28.47,        28.58,                     6426.54,224,20,        34.00,        25.10,NIFTY DIV OPPS 50
N,EQ,NETFLTGILT,NI IND ETF LONG TERM GILT,        20.27,        20.32,        20.60,        19.76,        20.02,                   115692.71,5642,58,        24.00,        15.05,NIFTY GS 8 13YR
N,EQ,NETFMID150,NI I ETF NIFTY MIDCAP 150,        66.79,        66.20,        67.58,        65.51,        66.03,                 11676243.67,174212,204,        75.70,        52.00,NIFTY MIDCAP 150
N,EQ,NETFNIF100,NIPP INDIA ETF NIFTY 100,       124.43,       125.01,       125.01,       120.25,       121.84,                    46046.70,377,16,       132.99,       101.30,NIFTY 100
N,EQ,NETFNV20,NIPPON INDIA ETF NV20,        57.59,        57.41,        57.95,        56.69,        56.75,                   992783.31,17360,47,       646.00,        56.10,NIFTY50 VALUE 20
N,EQ,NIFTYBEES,NIPPO IND ETF NIFTY BEES,       127.17,       127.35,       127.78,       123.60,       124.71,                135737910.17,1076883,10932,      1295.00,       123.60,NIFTY 50
