MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,BRNL,BHARAT ROAD NETWORK LTD,        69.65,        69.00,        69.50,        65.50,        66.05,                   250231.85,3688,N, ,151,       144.95,        55.00
N,EQ,BROOKS,BROOKS LAB LIMITED,        44.50,        44.55,        46.10,        42.00,        42.35,                  3169464.80,72321,N, ,581,        63.00,        22.30
N,EQ,BSE,BSE LIMITED,       533.40,       540.10,       547.75,       521.30,       526.60,                 71821537.45,133303,N, ,3586,       648.00,       446.20
G,EQ,BSELINFRA,BSEL INFRASTRUCTURE REALT,         1.05,         1.00,         1.00,         1.00,         1.00,                     5000.00,5000,N, ,1,         2.45,          .90
N,SM,BSHSL,BOMBAY SUPER HYBRID SEEDS,       107.50,       109.00,       109.00,       109.00,       109.00,                   130800.00,1200,N, ,1,       149.00,       106.50
N,EQ,BSL,BSL LTD,        34.30,        34.30,        34.80,        33.95,        34.55,                   139335.05,4046,N, ,65,        49.50,        20.85
N,EQ,BSOFT,BIRLASOFT LIMITED,        79.35,        82.20,        86.80,        80.30,        82.80,                620595011.55,7415562,N, ,33510,       117.80,        57.50
N,EQ,BURNPUR,BURNPUR CEMENT LTD.,         1.20,         1.25,         1.25,         1.15,         1.15,                    48999.45,42493,N, ,48,         4.90,         1.15
N,EQ,BUTTERFLY,BTRFLY GANDHI APPL LTD,       228.60,       227.90,       227.90,       202.95,       210.55,                 53876068.45,254121,N, ,9588,       284.90,       139.00
N,EQ,BYKE,THE BYKE HOSPITALITY LTD,        20.65,        20.50,        21.15,        18.25,        19.05,                   311517.05,15862,N, ,261,        48.45,        14.60
N,EQ,CALSOFT,CALIFORNIA SOFTWARE CO LT,        13.95,        14.00,        14.00,        13.30,        13.40,                    85623.60,6333,N, ,43,        25.90,         9.20
N,EQ,CAMLINFINE,CAMLIN FINE SCIENCES LTD,        78.15,        76.90,        79.50,        75.00,        75.95,                 21007428.60,271370,N, ,3013,        89.90,        38.70
N,EQ,CANBK,CANARA BANK,       202.65,       201.00,       205.55,       189.00,       192.05,               1494773317.40,7507719,N, ,46902,       302.10,       170.60
N,EQ,CANFINHOME,CAN FIN HOMES LTD,       484.05,       483.00,       512.95,       467.00,       471.05,                809036055.00,1631941,N, ,36123,       512.95,       235.55
N,EQ,CANTABIL,CANTABIL RETAIL LTD,       246.95,       242.15,       250.40,       230.00,       246.35,                  3340656.10,13716,N, ,1375,       351.85,       131.15
N,EQ,CAPACITE,CAPACITE INFRAPROJECT LTD,       192.80,       195.90,       199.95,       181.00,       183.25,                 12887960.25,68137,N, ,2088,       284.40,       155.65
N,EQ,CAPLIPOINT,CAPLIN POINT LAB LTD.,       287.85,       288.00,       290.10,       280.10,       281.90,                 14020355.85,49061,N, ,1905,       466.90,       280.10
N,EQ,CAPTRUST,CAPITAL TRUST LIMITED,       143.80,       147.60,       150.70,       137.00,       138.35,                   201246.65,1420,N, ,26,       236.50,        45.65
N,EQ,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD,       333.75,       339.00,       339.00,       326.00,       330.05,                 39606368.55,119674,N, ,1034,       418.85,       265.00
N,EQ,CAREERP,CAREER POINT LIMITED,       118.65,       120.10,       124.45,       111.25,       113.55,                 11626721.55,96331,N, ,2043,       136.75,        48.30
N,EQ,CARERATING,CARE RATINGS LIMITED,       655.20,       650.00,       666.00,       645.15,       655.05,                116077232.40,177244,N, ,4341,      1024.00,       443.70
N,EQ,CASTROLIND,CASTROL INDIA LIMITED,       135.05,       135.25,       145.00,       134.90,       139.70,                835945578.30,5940194,N, ,81213,       172.90,       112.75
