MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N5,L&TINFRA,BOND 8.20% PA S1,      1050.00,      1053.00,      1054.00,      1053.00,      1054.00,                    23186.00,22, ,2,      1200.00,       950.10
N,N5,SBIN,BOND 9.95% PA RET. S4,     11464.59,     11441.00,     11490.00,     11441.00,     11463.16,                  2121503.26,185, ,28,     12390.00,     10120.00
N,N6,ECLFINANCE,ECL NCD 12% OPT II,      1089.90,      1101.00,      1101.00,      1101.00,      1101.00,                    11010.00,10, ,1,      1112.95,       925.00
N,N6,IDFCFIRSTB,BOND 0% 2021 TR-2 SR-II,      9633.02,      9637.50,      9637.50,      9637.50,      9637.50,                    19275.00,2, ,1,      9675.00,      8301.00
N,N6,L&TINFRA,BOND 8.30% PA CUM. S2,      1983.00,      2007.00,      2007.00,      1976.15,      1990.00,                   178699.00,90, ,6,      2200.00,      1791.00
N,N6,NHAI,8.75% TAX FREE TR I S IIB,      1288.46,      1296.00,      1296.00,      1296.00,      1296.00,                    12960.00,10, ,2,      1299.90,      1101.00
N,N6,NHBTF2014,BOND 9.01%PA TF TR-I S 3B,      6528.93,      6550.00,      6555.00,      6425.00,      6449.82,                  7252179.00,1122, ,58,      7474.00,      6302.00
N,N6,RECLTD,BOND 8.46% TAX FREE S2A,      1202.00,      1209.99,      1209.99,      1209.99,      1209.99,                    60499.50,50, ,1,      1458.00,      1144.31
N,N6,SBIN,BOND 9.45% PA NON RET. S4,     11250.00,     11340.00,     11340.00,     11100.00,     11220.00,                    22440.00,2, ,2,     11875.00,     10404.20
N,N6,TATACAPHSG,SEC RED NCD 8.30% SR.III,       997.05,       999.00,       999.00,       999.00,       999.00,                   149850.00,150, ,1,      1001.94,       997.00
N,N7,ECLFINANCE,ECL NCD 0% OPT III,      1948.00,      1948.00,      1948.00,      1948.00,      1948.00,                    29220.00,15, ,2,      1970.00,      1470.00
N,N7,IBUCCREDIT,SERENCD8.66%SRIVCIII&IV,       840.60,       889.00,       890.60,       846.00,       846.00,                   326221.60,367, ,3,       989.99,       600.00
N,N7,IREDA,7.74% TAX FREE NCD,      1154.00,      1146.00,      1149.00,      1146.00,      1149.00,                   379140.00,330, ,6,      1242.85,      1095.60
N,N7,NTPC,8.49% SEC NON-CUM RED NCD,        13.95,        13.92,        13.97,        13.92,        13.94,                   122545.74,8791, ,31,        15.00,        11.00
N,N8,IBULHSGFIN,SEC RED NCD 8.65% SR. V,       879.80,       879.79,       879.79,       879.79,       879.79,                     4398.95,5, ,1,       980.00,       515.00
