SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
KWALITY,BE,KWALITY LIMITED,H
LGBFORGE,BE,LGB FORGE LIMITED,H
LYPSAGEMS,BE,LYPSA GEMS & JEWEL LTD,H
MADHUCON,EQ,MADHUCON PROJECTS LTD.,H
MANAKCOAT,EQ,MAN COAT METAL & IND LTD,H
MELSTAR,BE,MELSTAR INFORMATION TECH,H
MERCATOR,EQ,MERCATOR LIMITED,H
METALFORGE,EQ,METALYST FORGINGS LIMITED,H
METKORE,BZ,METKORE ALLOYS & IND LTD,H
MIC,BE,MIC ELECTRONICS LIMITED,H
MSPL,EQ,MSP STEEL & POWER LTD.,H
MTEDUCARE,EQ,MT EDUCARE LTD,H
MTNL,EQ,MAHANAGAR TELEPHONE NIGAM,H
NAGAFERT,BE,NAGARJUN FERT AND CHE LTD,H
NEXTMEDIA,EQ,NEXT MEDIAWORKS LIMITED,H
NILASPACES,EQ,NILA SPACES LIMITED,H
NKIND,EQ,NK INDUSTRIES LTD,H
NTL,BE,NEUEON TOWERS LIMITED,H
OISL,EQ,OCL IRON AND STEEL LTD,H
OMKARCHEM,EQ,OMKAR SPL CHEM LTD,H
ONELIFECAP,EQ,ONELIFE CAP ADVISORS LTD,H
ONEPOINT,EQ,ONE POINT ONE SOL LTD,H
ORTEL,BZ,ORTEL COMMUNICATIONS LTD,H
PARSVNATH,BE,PARSVNATH DEVELOPER LTD,H
PETRONENGG,BE,PETRON ENGG CONSTRUCT LTD,H
PKTEA,BE,THE P K TEA PROD CO LTD,H
PROLIFE,SM,PROLIFE INDUSTRIES LTD,H
PUSHPREALM,SM,PUSHPA REAL AND INFRA LTD,H
RAJRAYON,BZ,RAJ RAYON INDUSTRIES LTD,H
RMDRIP,SM,R M DRIP & SPRINK SYS LTD,H
ROLTA,BE,ROLTA INDIA - DEP SETT,H
RTNINFRA,BE,RATTANINDIA INFRA LIMITED,H
RTNPOWER,EQ,RATTANINDIA POWER LIMITED,H
RUCHI,BE,RUCHI SOYA INDUSTRIES LTD,H
SALSTEEL,BE,S.A.L. STEEL LTD.,H
SANWARIA,EQ,SANWARIA CONSUMER LIMITED,H
SARVESHWAR,SM,SARVESHWAR FOODS LIMITED,H
SCAPDVR,EQ,STAMPEDE CAPITAL LIMITED,H
SECURCRED,SM,SECUR CREDENTIALS LIMITED,H
SELMCL,BE,SEL MANU. CO. LTD.,H
SETUINFRA,EQ,SETUBANDHAN INFRA LTD,H
SHAHALLOYS,EQ,SHAH ALLOYS LIMITED,H
SHAKTIPUMP,EQ,SHAKTI PUMPS (I) LTD,H
SHREERAMA,EQ,SHREE RAMA MULTI TECH LTD,H
SHRIRAMEPC,EQ,SHRIRAM EPC LTD.,H
SHUBHLAXMI,SM,SHUBHLAXMI JEWEL ART LTD,H
SIMPLEXINF,EQ,SIMPLEX INFRASTRUCTURES L,H
SINTEX,BE,SINTEX INDUSTRIES LTD,H
SIRCA,BE,SIRCA PAINT INDIA LIMITED,H
SITINET,BE,SITI NETWORKS LIMITED,H
SPENTEX,BE,SPENTEX IND. LTD,H
SPTL,BE,SINTEX PLASTICS TECH LTD,H
SPYL,BE,SHEKHAWATI POLY-YARN LTD.,H
STAMPEDE,BE,STAMPEDE CAPITAL LTD,H
SUJANAUNI,BE,SUJANA UNI. INDS. LTD.,H
SUMEETINDS,BE,SUMEET IND LIMITED,H
SUMIT,BE,SUMIT WOODS LIMITED,H
SUPERSPIN,BE,SUPER SPINNING MILLS LTD,H
SURANASOL,BE,SURANA SOLAR LIMITED,H
SUVEN,BE,SUVEN LIFE SCIENCES LTD,H
SUZLON,EQ,SUZLON ENERGY LIMITED,H
TANTIACONS,BE,TANTIA CONST LTD,H
THIRUSUGAR,BZ,THIRU AROORAN SUGARS LTD,H
TMRVL,EQ,THE MANDHANA RET VENT LTD,H
TRANSWIND,SM,TRANSWIND INFRA LIMITED,H
UJAAS,EQ,UJAAS ENERGY LIMITED,H
UNIPLY,EQ,UNIPLY INDUSTRIES LIMITED,H
UNITECH,BE,UNITECH LIMITED,H
UNITY,BZ,UNITY INFRAPROJECTS LTD,H
UVSL,EQ,UTTAM VALUE STEELS LTD,H
VAISHALI,EQ,VAISHALI PHARMA LIMITED,H
VASWANI,EQ,VASWANI IND LTD,H
VICEROY,BE,VICEROY HOTELS LIMITED,H
VIDEOIND,BZ,VIDEOCON INDUSTRIES LIMIT,H
VIJIFIN,EQ,VIJI FINANCE LIMITED,H
VIKASPROP,EQ,VIKAS PROP & GRANITE LTD,H
VISESHINFO,BE,VISESH INFOTECNICS LTD,H
ZEELEARN,EQ,ZEE LEARN LIMITED,H
AARVI,SM,AARVI ENCON LIMITED,L
ABINFRA,SM,A B INFRABUILD LIMITED,L
ADLABS,BE,ADLABS ENTERTAINMENT LTD.,L
AGROPHOS,EQ,AGRO PHOS INDIA LIMITED,L
ALANKIT,EQ,ALANKIT LIMITED,L
ALCHEM,BE,ALCHEMIST LTD,L
ALPSINDUS,BE,ALPS INDUSTRIES LTD.,L
ANIKINDS,BE,ANIK INDUSTRIES LTD,L
ANSALAPI,EQ,ANSAL PROP & INFRA LTD,L
ANSALHSG,BE,ANSAL HOUSING LIMITED,L
ANTGRAPHIC,BE,ANTARCTICA LTD,L
ARCHIES,EQ,ARCHIES LTD,L
ARCOTECH,BE,ARCOTECH LIMITED,L
ARROWTEX,BE,ARROW TEXTILES LIMITED,L
ASTRON,EQ,ASTRON PAPER BORD MIL LTD,L
ATLANTA,EQ,ATLANTA LIMITED,L
ATLASCYCLE,BE,ATLAS CYCLE (HARYANA) LTD,L
AUSOMENT,BE,AUSOM ENTERPRISE LIMITED,L
AXISCADES,BE,AXISCADES ENGG TECH LTD,L
BAGFILMS,BE,B.A.G FILMS AND MEDIA LTD,L
BALKRISHNA,BE,BALKRISHNA PAPER MILLS L,L
BALLARPUR,BE,BALLARPUR INDUSTRIES LTD,L
BARTRONICS,BE,BARTRONICS INDIA LIMITED,L
BCG,BE,BRIGHTCOM GROUP LIMITED,L
BEDMUTHA,BE,BEDMUTHA INDUST LTD,L
BFUTILITIE,EQ,BF UTILITIES LIMITED,L
BGLOBAL,BE,BHARATIYA GLOBAL INFO LTD,L
BIGBLOC,BE,BIGBLOC CONSTRUCTION LTD,L
BILENERGY,EQ,BIL ENERGY SYSTEMS LTD,L
BRIGHT,SM,BRIGHT SOLAR LIMITED,L
BURNPUR,EQ,BURNPUR CEMENT LTD.,L
BVCL,BE,BARAK VALLEY CEM. LTD.,L
CALSOFT,EQ,CALIFORNIA SOFTWARE CO LT,L
CANDC,BZ,C&C CONST. LTD,L
CELEBRITY,EQ,CELEBRITY FASHIONS LTD,L
CELESTIAL,BE,CELESTIAL BIOLABS LTD,L
CEREBRAINT,BE,CEREBRA INT TECH LTD,L
CGPOWER,BZ,CG POWER AND IND SOL LTD,L
CKFSL,EQ,COX & KINGS FIN SERV LTD,L
COFFEEDAY,BZ,COFFEE DAY ENTERPRISE LTD,L
COMPINFO,EQ,COMPUAGE INFOCOM LTD,L
COUNCODOS,EQ,COUNTRY CONDO'S LIMITED,L
COX&KINGS,BZ,COX & KINGS LIMITED,L
CURATECH,BE,CURA TECHNOLOGIES LTD,L
DGCONTENT,BE,DIGICONTENT LIMITED,L
