indx_name,symbol,industry
nifty50,ADANIPORTS,SERVICES
nifty50,ASIANPAINT,CONSUMER GOODS
nifty50,AXISBANK,FINANCIAL SERVICES
nifty50,BAJAJ-AUTO,AUTOMOBILE
nifty50,BAJFINANCE,FINANCIAL SERVICES
nifty50,BAJAJFINSV,FINANCIAL SERVICES
nifty50,BPCL,OIL & GAS
nifty50,BHARTIARTL,TELECOM
nifty50,INFRATEL,TELECOM
nifty50,BRITANNIA,CONSUMER GOODS
nifty50,CIPLA,PHARMA
nifty50,COALINDIA,METALS
nifty50,DRREDDY,PHARMA
nifty50,EICHERMOT,AUTOMOBILE
nifty50,GAIL,OIL & GAS
nifty50,GRASIM,CEMENT & CEMENT PRODUCTS
nifty50,HCLTECH,IT
nifty50,HDFCBANK,FINANCIAL SERVICES
nifty50,HEROMOTOCO,AUTOMOBILE
nifty50,HINDALCO,METALS
nifty50,HINDUNILVR,CONSUMER GOODS
nifty50,HDFC,FINANCIAL SERVICES
nifty50,ICICIBANK,FINANCIAL SERVICES
nifty50,ITC,CONSUMER GOODS
nifty50,IOC,OIL & GAS
nifty50,INDUSINDBK,FINANCIAL SERVICES
nifty50,INFY,IT
nifty50,JSWSTEEL,METALS
nifty50,KOTAKBANK,FINANCIAL SERVICES
nifty50,LT,CONSTRUCTION
nifty50,M&M,AUTOMOBILE
nifty50,MARUTI,AUTOMOBILE
nifty50,NTPC,POWER
nifty50,NESTLEIND,CONSUMER GOODS
nifty50,ONGC,OIL & GAS
nifty50,POWERGRID,POWER
nifty50,RELIANCE,OIL & GAS
nifty50,SHREECEM,CEMENT & CEMENT PRODUCTS
nifty50,SBIN,FINANCIAL SERVICES
nifty50,SUNPHARMA,PHARMA
nifty50,TCS,IT
nifty50,TATAMOTORS,AUTOMOBILE
nifty50,TATASTEEL,METALS
nifty50,TECHM,IT
nifty50,TITAN,CONSUMER GOODS
nifty50,UPL,FERTILISERS & PESTICIDES
nifty50,ULTRACEMCO,CEMENT & CEMENT PRODUCTS
nifty50,VEDL,METALS
nifty50,WIPRO,IT
nifty50,ZEEL,MEDIA & ENTERTAINMENT
