INFO : 2020-05-11 06:53:39,960 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_SEP_11.csv
INFO : 2020-05-11 06:53:40,293 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2019_JUL_26.csv
INFO : 2020-05-11 06:53:40,675 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2016_SEP_21.csv
INFO : 2020-05-11 06:53:40,980 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_OCT_15.csv
INFO : 2020-05-11 06:53:41,390 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_AUG_30.csv
INFO : 2020-05-11 06:53:41,754 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2020_APR_09.csv
INFO : 2020-05-11 06:53:42,119 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2016_DEC_26.csv
INFO : 2020-05-11 06:53:42,441 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2019_FEB_11.csv
INFO : 2020-05-11 06:53:42,827 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_SEP_01.csv
INFO : 2020-05-11 06:53:43,128 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_OCT_19.csv
INFO : 2020-05-11 06:53:43,489 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_JUL_12.csv
INFO : 2020-05-11 06:53:43,788 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_SEP_27.csv
INFO : 2020-05-11 06:53:44,103 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2020_APR_27.csv
INFO : 2020-05-11 06:53:44,478 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2020_MAY_08.csv
INFO : 2020-05-11 06:53:44,843 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2019_MAY_10.csv
INFO : 2020-05-11 06:53:45,170 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_JAN_05.csv
INFO : 2020-05-11 06:53:45,488 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_DEC_31.csv
INFO : 2020-05-11 06:53:45,853 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_AUG_16.csv
INFO : 2020-05-11 06:53:46,213 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_JUN_05.csv
INFO : 2020-05-11 06:53:46,562 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_OCT_11.csv
