symbol,cname,series,list_date,paid_up_value,market_lot,isin,face_value,calculated
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,2,1,INE837H01020,2,ADVENZYMES.NS
AEGISCHEM,Aegis Logistics Limited,EQ,03-APR-1996,1,1,INE208C01025,1,AEGISCHEM.NS
AFFLE,Affle (India) Limited,BE,08-AUG-2019,10,1,INE00WC01019,10,AFFLE.NS
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10,1,INE204E01012,10,AGARIND.NS
AGCNET,AGC Networks Limited,BE,22-JUL-2003,10,1,INE676A01019,10,AGCNET.NS
AGRITECH,Agri-Tech (India) Limited,BE,28-JAN-2014,10,1,INE449G01018,10,AGRITECH.NS
AGROPHOS,Agro Phos India Limited,EQ,08-MAR-2019,10,1,INE740V01019,10,AGROPHOS.NS
AHLEAST,Asian Hotels (East) Limited,EQ,11-AUG-2010,10,1,INE926K01017,10,AHLEAST.NS
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,2,1,INE758C01029,2,AHLUCONT.NS
AHLWEST,Asian Hotels (West) Limited,BE,05-AUG-2010,10,1,INE915K01010,10,AHLWEST.NS
AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2,1,INE212H01026,2,AIAENG.NS
AIONJSW,Monnet Ispat & Energy Limited,BE,12-SEP-2018,10,1,INE743C01021,10,AIONJSW.NS
AIRAN,Airan Limited,EQ,03-MAY-2019,2,1,INE645W01026,2,AIRAN.NS
AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2,1,INE031B01049,2,AJANTPHARM.NS
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,10,1,INE298G01027,10,AJMERA.NS
AKASH,Akash Infra-Projects Limited,BE,11-OCT-2019,10,1,INE737W01013,10,AKASH.NS
AKSHARCHEM,AksharChem India Limited,EQ,28-MAR-2017,10,1,INE542B01011,10,AKSHARCHEM.NS
AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-AUG-2000,5,1,INE523B01011,5,AKSHOPTFBR.NS
