symbol,cname,series,list_date,paid_up_value,market_lot,isin,face_value,calculated
CANDC,C & C Constructions Limited,BZ,26-FEB-2007,10,1,INE874H01015,10,CANDC.NS
CANFINHOME,Can Fin Homes Limited,EQ,10-MAY-1995,2,1,INE477A01020,2,CANFINHOME.NS
CANTABIL,Cantabil Retail India Limited,EQ,12-OCT-2010,10,1,INE068L01016,10,CANTABIL.NS
CAPACITE,Capacit'e Infraprojects Limited,EQ,25-SEP-2017,10,1,INE264T01014,10,CAPACITE.NS
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-JUN-2014,2,1,INE475E01026,2,CAPLIPOINT.NS
CAPTRUST,Capital Trust Limited,EQ,16-JAN-2017,10,1,INE707C01018,10,CAPTRUST.NS
CARBORUNIV,Carborundum Universal Limited,EQ,03-APR-1996,1,1,INE120A01034,1,CARBORUNIV.NS
CAREERP,Career Point Limited,EQ,06-OCT-2010,10,1,INE521J01018,10,CAREERP.NS
CARERATING,CARE Ratings Limited,EQ,26-DEC-2012,10,1,INE752H01013,10,CARERATING.NS
CASTEXTECH,Castex Technologies Limited,BE,27-JUN-2005,2,1,INE068D01021,2,CASTEXTECH.NS
CASTROLIND,Castrol India Limited,EQ,14-MAR-2014,5,1,INE172A01027,5,CASTROLIND.NS
CCHHL,Country Club Hospitality & Holidays Limited,BE,03-FEB-2015,2,1,INE652F01027,2,CCHHL.NS
CCL,CCL Products (India) Limited,EQ,07-JUN-2004,2,1,INE421D01022,2,CCL.NS
CDSL,Central Depository Services (India) Limited,EQ,30-JUN-2017,10,1,INE736A01011,10,CDSL.NS
CEATLTD,CEAT Limited,EQ,01-FEB-2008,10,1,INE482A01020,10,CEATLTD.NS
CEBBCO,Commercial Engineers & Body Builders Co Limited,EQ,18-OCT-2010,10,1,INE209L01016,10,CEBBCO.NS
CELEBRITY,Celebrity Fashions Limited,EQ,12-JAN-2006,10,1,INE185H01016,10,CELEBRITY.NS
CENTENKA,Century Enka Limited,EQ,10-MAY-1995,10,1,INE485A01015,10,CENTENKA.NS
CENTEXT,Century Extrusions Limited,EQ,20-JUL-2004,1,1,INE281A01026,1,CENTEXT.NS
CENTRALBK,Central Bank of India,EQ,21-AUG-2007,10,1,INE483A01010,10,CENTRALBK.NS
CENTRUM,Centrum Capital Limited,EQ,04-APR-2018,1,1,INE660C01027,1,CENTRUM.NS
CENTUM,Centum Electronics Limited,EQ,05-OCT-2007,10,1,INE320B01020,10,CENTUM.NS
CENTURYPLY,Century Plyboards (India) Limited,EQ,23-MAR-2006,1,1,INE348B01021,1,CENTURYPLY.NS
CENTURYTEX,Century Textiles & Industries Limited,EQ,27-JUN-2003,10,1,INE055A01016,10,CENTURYTEX.NS
CERA,Cera Sanitaryware Limited,EQ,02-NOV-2007,5,1,INE739E01017,5,CERA.NS
CEREBRAINT,Cerebra Integrated Technologies Limited,BE,26-JUN-2013,10,1,INE345B01019,10,CEREBRAINT.NS
CESC,CESC Limited,EQ,08-FEB-1995,10,1,INE486A01013,10,CESC.NS
CESCVENT,CESC Ventures Limited,EQ,25-JAN-2019,10,1,INE425Y01011,10,CESCVENT.NS
CGCL,Capri Global Capital Limited,EQ,29-OCT-2010,2,1,INE180C01026,2,CGCL.NS
CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-MAR-1995,2,1,INE067A01029,2,CGPOWER.NS
CHALET,Chalet Hotels Limited,EQ,07-FEB-2019,10,1,INE427F01016,10,CHALET.NS
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-JUN-1995,10,1,INE085A01013,10,CHAMBLFERT.NS
CHEMBOND,Chembond Chemicals Ltd,EQ,20-NOV-2019,5,1,INE995D01025,5,CHEMBOND.NS
CHEMFAB,Chemfab Alkalis Limited,EQ,25-APR-2018,10,1,INE783X01023,10,CHEMFAB.NS
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,07-JUN-2000,10,1,INE178A01016,10,CHENNPETRO.NS
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-MAY-1996,2,1,INE121A01024,2,CHOLAFIN.NS
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-SEP-2017,1,1,INE149A01033,1,CHOLAHLDNG.NS
CHROMATIC,Chromatic India Limited,EQ,29-MAY-2012,10,1,INE662C01015,10,CHROMATIC.NS
CIGNITITEC,Cigniti Technologies Limited,EQ,13-OCT-2014,10,1,INE675C01017,10,CIGNITITEC.NS
CIMMCO,Cimmco Limited,EQ,08-SEP-2011,10,1,INE184C01028,10,CIMMCO.NS
CINELINE,Cineline India Limited,EQ,13-JUN-2012,5,1,INE704H01022,5,CINELINE.NS
CINEVISTA,Cinevista Limited,BE,02-MAY-2000,2,1,INE039B01026,2,CINEVISTA.NS
CIPLA,Cipla Limited,EQ,08-FEB-1995,2,1,INE059A01026,2,CIPLA.NS
CKFSL,Cox & Kings Financial Service Limited,BZ,11-APR-2019,10,1,INE391Z01012,10,CKFSL.NS
CLEDUCATE,CL Educate Limited,EQ,31-MAR-2017,10,1,INE201M01011,10,CLEDUCATE.NS
CLNINDIA,Clariant Chemicals (India) Limited,EQ,14-JUN-1995,10,1,INE492A01029,10,CLNINDIA.NS
CMICABLES,CMI Limited,EQ,29-NOV-2016,10,1,INE981B01011,10,CMICABLES.NS
CNOVAPETRO,CIL Nova Petrochemicals Limited,BE,01-JAN-2014,10,1,INE672K01025,10,CNOVAPETRO.NS
COALINDIA,Coal India Limited,EQ,04-NOV-2010,10,1,INE522F01014,10,COALINDIA.NS
COCHINSHIP,Cochin Shipyard Limited,EQ,11-AUG-2017,10,1,INE704P01017,10,COCHINSHIP.NS
COLPAL,Colgate Palmolive (India) Limited,EQ,17-DEC-2007,1,1,INE259A01022,1,COLPAL.NS
COMPINFO,Compuage Infocom Limited,EQ,07-JUL-2016,2,1,INE070C01037,2,COMPINFO.NS
COMPUSOFT,Compucom Software Limited,BE,02-MAR-2012,2,1,INE453B01029,2,COMPUSOFT.NS
CONCOR,Container Corporation of India Limited,EQ,07-MAY-1997,5,1,INE111A01025,5,CONCOR.NS
CONFIPET,Confidence Petroleum India Limited,EQ,13-JUN-2019,1,1,INE552D01024,1,CONFIPET.NS
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-MAR-2005,10,1,INE025A01027,10,CONSOFINVT.NS
CONTROLPR,Control Print Limited,EQ,24-JUN-2016,10,1,INE663B01015,10,CONTROLPR.NS
CORALFINAC,Coral India Finance & Housing Limited,EQ,25-MAR-1996,2,100,INE558D01021,2,CORALFINAC.NS
CORDSCABLE,Cords Cable Industries Limited,EQ,13-FEB-2008,10,1,INE792I01017,10,CORDSCABLE.NS
COROMANDEL,Coromandel International Limited,EQ,31-MAY-1995,1,1,INE169A01031,1,COROMANDEL.NS
COSMOFILMS,Cosmo Films Limited,EQ,25-MAY-1995,10,1,INE757A01017,10,COSMOFILMS.NS
COUNCODOS,Country Condo's Limited,EQ,22-JAN-2009,1,1,INE695B01025,1,COUNCODOS.NS
COX&KINGS,Cox & Kings Limited,BZ,11-DEC-2009,5,1,INE008I01026,5,COX&KINGS.NS
CREATIVE,Creative Peripherals and Distribution Limited,EQ,05-AUG-2019,10,1,INE985W01018,10,CREATIVE.NS
CREATIVEYE,Creative Eye Limited,EQ,20-DEC-2000,5,1,INE230B01021,5,CREATIVEYE.NS
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-AUG-2018,10,1,INE741K01010,10,CREDITACC.NS
CREST,Crest Ventures Limited,EQ,27-DEC-2006,10,1,INE559D01011,10,CREST.NS
CRISIL,CRISIL Limited,EQ,28-JUN-1995,1,1,INE007A01025,1,CRISIL.NS
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-MAY-2016,2,1,INE299U01018,2,CROMPTON.NS
CSBBANK,CSB Bank Limited,EQ,04-DEC-2019,10,1,INE679A01013,10,CSBBANK.NS
CTE,Cambridge Technology Enterprises Limited,EQ,07-FEB-2007,10,1,INE627H01017,10,CTE.NS
CUB,City Union Bank Limited,EQ,25-AUG-1998,1,1,INE491A01021,1,CUB.NS
CUBEXTUB,Cubex Tubings Limited,BE,24-APR-1996,10,1,INE144D01012,10,CUBEXTUB.NS
CUMMINSIND,Cummins India Limited,EQ,29-MAR-1995,2,1,INE298A01020,2,CUMMINSIND.NS
CUPID,Cupid Limited,EQ,16-SEP-2016,10,1,INE509F01011,10,CUPID.NS
CYBERTECH,Cybertech Systems And Software Limited,EQ,27-JAN-1999,10,1,INE214A01019,10,CYBERTECH.NS
CYIENT,Cyient Limited,EQ,30-SEP-1998,5,1,INE136B01020,5,CYIENT.NS
DAAWAT,LT Foods Limited,EQ,18-DEC-2006,1,1,INE818H01020,1,DAAWAT.NS
DABUR,Dabur India Limited,EQ,28-APR-1999,1,1,INE016A01026,1,DABUR.NS
DALBHARAT,Dalmia Bharat Limited,EQ,22-JAN-2019,2,1,INE00R701025,2,DALBHARAT.NS
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,17-JAN-1996,2,1,INE495A01022,2,DALMIASUG.NS
DAMODARIND,Damodar Industries Limited,EQ,04-JUL-2016,5,1,INE497D01022,5,DAMODARIND.NS
DATAMATICS,Datamatics Global Services Limited,EQ,07-MAY-2004,5,1,INE365B01017,5,DATAMATICS.NS
DBCORP,D.B.Corp Limited,EQ,06-JAN-2010,10,1,INE950I01011,10,DBCORP.NS
DBL,Dilip Buildcon Limited,EQ,11-AUG-2016,10,1,INE917M01012,10,DBL.NS
DBREALTY,D B Realty Limited,EQ,24-FEB-2010,10,1,INE879I01012,10,DBREALTY.NS
DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ,29-FEB-2012,2,1,INE921B01025,2,DBSTOCKBRO.NS
DCAL,Dishman Carbogen Amcis Limited,EQ,21-SEP-2017,2,1,INE385W01011,2,DCAL.NS
DCBBANK,DCB Bank Limited,EQ,27-OCT-2006,10,1,INE503A01015,10,DCBBANK.NS
DCM,DCM  Limited,EQ,29-MAR-1995,10,1,INE498A01018,10,DCM.NS
DCMFINSERV,DCM Financial Services Limited,BE,21-MAY-1997,10,1,INE891B01012,10,DCMFINSERV.NS
DCMNVL,DCM Nouvelle Limited,EQ,16-JUL-2019,10,1,INE08KP01019,10,DCMNVL.NS
DCMSHRIRAM,DCM Shriram Limited,EQ,12-APR-1995,2,1,INE499A01024,2,DCMSHRIRAM.NS
DCW,DCW Limited,EQ,25-MAY-1995,2,1,INE500A01029,2,DCW.NS
DECCANCE,Deccan Cements Limited,EQ,02-AUG-2007,5,1,INE583C01021,5,DECCANCE.NS
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-JAN-2003,10,1,INE501A01019,10,DEEPAKFERT.NS
DEEPAKNTR,Deepak Nitrite Limited,EQ,29-SEP-2010,2,1,INE288B01029,2,DEEPAKNTR.NS
DEEPIND,Deep Industries Limited,EQ,09-MAR-2010,10,1,INE677H01012,10,DEEPIND.NS
DELTACORP,Delta Corp Limited,EQ,02-NOV-2007,1,1,INE124G01033,1,DELTACORP.NS
DELTAMAGNT,Delta Manufacturing Limited,BE,18-OCT-1995,10,1,INE393A01011,10,DELTAMAGNT.NS
DEN,Den Networks Limited,EQ,24-NOV-2009,10,1,INE947J01015,10,DEN.NS
DENORA,De Nora India Limited,EQ,07-AUG-1997,10,1,INE244A01016,10,DENORA.NS
DFMFOODS,DFM Foods Limited,EQ,29-DEC-2016,2,1,INE456C01020,2,DFMFOODS.NS
DGCONTENT,Digicontent Limited,EQ,18-JUN-2019,2,1,INE03JI01017,2,DGCONTENT.NS
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-MAR-1995,10,1,INE041A01016,10,DHAMPURSUG.NS
DHANBANK,Dhanlaxmi Bank Limited,EQ,01-APR-2004,10,1,INE680A01011,10,DHANBANK.NS
DHANUKA,Dhanuka Agritech Limited,EQ,29-JUN-2011,2,1,INE435G01025,2,DHANUKA.NS
DHFL,Dewan Housing Finance Corporation Limited,EQ,01-OCT-2002,10,1,INE202B01012,10,DHFL.NS
DHUNINV,Dhunseri Investments Limited,EQ,18-MAR-2011,10,1,INE320L01011,10,DHUNINV.NS
DIAMONDYD,Prataap Snacks Limited,EQ,05-OCT-2017,5,1,INE393P01035,5,DIAMONDYD.NS
DIAPOWER,Diamond Power Infra Ltd,BZ,29-SEP-2010,10,1,INE989C01012,10,DIAPOWER.NS
DICIND,DIC India Limited,EQ,30-AUG-1995,10,1,INE303A01010,10,DICIND.NS
DIGISPICE,DiGiSPICE Technologies Limited,EQ,27-MAY-2008,3,1,INE927C01020,3,DIGISPICE.NS
DIGJAMLTD,Digjam Limited,BZ,13-JUL-2016,10,1,INE731U01010,10,DIGJAMLTD.NS
DISHTV,Dish TV India Limited,EQ,18-APR-2007,1,1,INE836F01026,1,DISHTV.NS
DIVISLAB,Divi's Laboratories Limited,EQ,12-MAR-2003,2,1,INE361B01024,2,DIVISLAB.NS
DIXON,Dixon Technologies (India) Limited,EQ,18-SEP-2017,10,1,INE935N01012,10,DIXON.NS
DLF,DLF Limited,EQ,05-JUL-2007,2,1,INE271C01023,2,DLF.NS
DLINKINDIA,D-Link (India) Limited,EQ,18-DEC-2009,2,1,INE250K01012,2,DLINKINDIA.NS
DMART,Avenue Supermarts Limited,BE,21-MAR-2017,10,1,INE192R01011,10,DMART.NS
DNAMEDIA,Diligent Media Corporation Limited,BE,11-DEC-2017,1,1,INE016M01021,1,DNAMEDIA.NS
DOLAT,Dolat Investments Limited,EQ,19-AUG-2019,1,1,INE966A01022,1,DOLAT.NS
DOLLAR,Dollar Industries Limited,EQ,21-APR-2017,2,1,INE325C01035,2,DOLLAR.NS
DONEAR,Donear Industries Limited,EQ,20-DEC-2006,2,1,INE668D01028,2,DONEAR.NS
DPSCLTD,DPSC Limited,EQ,21-APR-2008,1,1,INE360C01024,1,DPSCLTD.NS
DPWIRES,D P Wires Limited,EQ,17-JAN-2020,10,1,INE864X01013,10,DPWIRES.NS
DQE,DQ Entertainment (International) Limited,BE,20-JUN-2011,10,1,INE656K01010,10,DQE.NS
DREDGECORP,Dredging Corporation of India Limited,EQ,15-JAN-2004,10,1,INE506A01018,10,DREDGECORP.NS
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-MAY-2003,5,1,INE089A01023,5,DRREDDY.NS
DSSL,Dynacons Systems & Solutions Limited,EQ,01-DEC-2011,10,1,INE417B01040,10,DSSL.NS
DTIL,Dhunseri Tea & Industries Limited,EQ,20-JAN-2015,10,1,INE341R01014,10,DTIL.NS
DUCON,Ducon Infratechnologies Limited,BE,09-OCT-2012,1,1,INE741L01018,1,DUCON.NS
DVL,Dhunseri Ventures Limited,EQ,11-JAN-2008,10,1,INE477B01010,10,DVL.NS
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,31-DEC-2004,1,1,INE366A01041,1,DWARKESH.NS
DYNAMATECH,Dynamatic Technologies Limited,EQ,14-SEP-2006,10,1,INE221B01012,10,DYNAMATECH.NS
DYNPRO,Dynemic Products Limited,EQ,19-JUL-2017,10,1,INE256H01015,10,DYNPRO.NS
EASTSILK,Eastern Silk Industries Limited,EQ,03-JUL-1996,2,1,INE962C01027,2,EASTSILK.NS
EASUNREYRL,Easun Reyrolle Limited,BZ,23-JUL-1997,2,1,INE268C01029,2,EASUNREYRL.NS
EBIXFOREX,EBIXCASH WORLD MONEY INDIA LIMITED,BE,28-JUN-2011,10,1,INE726L01019,10,EBIXFOREX.NS
ECLERX,eClerx Services Limited,EQ,31-DEC-2007,10,1,INE738I01010,10,ECLERX.NS
EDELWEISS,Edelweiss Financial Services Limited,EQ,12-DEC-2007,1,1,INE532F01054,1,EDELWEISS.NS
EDL,Empee Distilleries Limited,BZ,26-NOV-2007,10,1,INE180G01019,10,EDL.NS
EDUCOMP,Educomp Solutions Limited,BZ,13-JAN-2006,2,1,INE216H01027,2,EDUCOMP.NS
EICHERMOT,Eicher Motors Limited,EQ,07-SEP-2004,10,1,INE066A01013,10,EICHERMOT.NS
EIDPARRY,EID Parry India Limited,EQ,10-MAY-1995,1,1,INE126A01031,1,EIDPARRY.NS
EIHAHOTELS,EIH Associated Hotels Limited,EQ,08-APR-2008,10,1,INE276C01014,10,EIHAHOTELS.NS
EIHOTEL,EIH Limited,EQ,08-FEB-1995,2,1,INE230A01023,2,EIHOTEL.NS
EIMCOELECO,Eimco Elecon (India) Limited,EQ,17-APR-1996,10,1,INE158B01016,10,EIMCOELECO.NS
EKC,Everest Kanto Cylinder Limited,EQ,15-DEC-2005,2,1,INE184H01027,2,EKC.NS
ELECON,Elecon Engineering Company Limited,EQ,29-SEP-2006,2,1,INE205B01023,2,ELECON.NS
ELECTCAST,Electrosteel Castings Limited,EQ,20-JUN-2003,1,1,INE086A01029,1,ELECTCAST.NS
ELECTHERM,Electrotherm (India) Limited,EQ,20-AUG-2007,10,1,INE822G01016,10,ELECTHERM.NS
ELGIEQUIP,Elgi Equipments Limited,EQ,22-NOV-1995,1,1,INE285A01027,1,ELGIEQUIP.NS
ELGIRUBCO,Elgi Rubber Company Limited,EQ,10-AUG-2011,1,1,INE819L01012,1,ELGIRUBCO.NS
EMAMILTD,Emami Limited,EQ,03-AUG-2006,1,1,INE548C01032,1,EMAMILTD.NS
EMAMIPAP,Emami Paper Mills Limited,EQ,30-MAY-2019,2,1,INE830C01026,2,EMAMIPAP.NS
EMAMIREAL,Emami Realty Limited,EQ,28-JUL-2010,2,1,INE778K01012,2,EMAMIREAL.NS
EMCO,Emco Limited,BZ,15-DEC-2005,2,1,INE078A01026,2,EMCO.NS
EMKAY,Emkay Global Financial Services Limited,EQ,28-APR-2006,10,1,INE296H01011,10,EMKAY.NS
EMMBI,Emmbi Industries Limited,EQ,24-FEB-2010,10,1,INE753K01015,10,EMMBI.NS
ENDURANCE,Endurance Technologies Limited,EQ,19-OCT-2016,10,1,INE913H01037,10,ENDURANCE.NS
ENERGYDEV,Energy Development Company Limited,BE,02-NOV-2007,10,1,INE306C01019,10,ENERGYDEV.NS
ENGINERSIN,Engineers India Limited,EQ,20-AUG-1997,5,1,INE510A01028,5,ENGINERSIN.NS
ENIL,Entertainment Network (India) Limited,EQ,15-FEB-2006,10,1,INE265F01028,10,ENIL.NS
EQUITAS,Equitas Holdings Limited,EQ,21-APR-2016,10,1,INE988K01017,10,EQUITAS.NS
ERIS,Eris Lifesciences Limited,EQ,29-JUN-2017,1,1,INE406M01024,1,ERIS.NS
EROSMEDIA,Eros International Media Limited,EQ,06-OCT-2010,10,1,INE416L01017,10,EROSMEDIA.NS
ESABINDIA,Esab India Limited,EQ,01-NOV-1995,10,1,INE284A01012,10,ESABINDIA.NS
ESCORTS,Escorts Limited,EQ,01-MAR-1995,10,1,INE042A01014,10,ESCORTS.NS
ESSARSHPNG,Essar Shipping Limited,BE,15-NOV-2011,10,1,INE122M01019,10,ESSARSHPNG.NS
ESSELPACK,Essel Propack Limited,EQ,11-FEB-2002,2,1,INE255A01020,2,ESSELPACK.NS
ESTER,Ester Industries Limited,EQ,20-JUN-2011,5,1,INE778B01029,5,ESTER.NS
EUROCERA,Euro Ceramics Limited,BZ,09-MAR-2007,10,1,INE649H01011,10,EUROCERA.NS
EUROMULTI,Euro Multivision Limited,BE,15-OCT-2009,10,1,INE063J01011,10,EUROMULTI.NS
EUROTEXIND,Eurotex Industries and Exports Limited,EQ,31-JAN-1996,10,1,INE022C01012,10,EUROTEXIND.NS
EVEREADY,Eveready Industries India Limited,BE,27-APR-2005,5,1,INE128A01029,5,EVEREADY.NS
EVERESTIND,Everest Industries Limited,EQ,29-MAR-1995,10,1,INE295A01018,10,EVERESTIND.NS
EXCEL,Excel Realty N Infra Limited,EQ,03-AUG-2009,10,1,INE688J01015,10,EXCEL.NS
EXCELINDUS,Excel Industries Limited,EQ,16-JUN-2004,5,1,INE369A01029,5,EXCELINDUS.NS
EXIDEIND,Exide Industries Limited,EQ,17-JUN-2003,1,1,INE302A01020,1,EXIDEIND.NS
EXPLEOSOL,Expleo Solutions Limited,EQ,26-OCT-2009,10,1,INE201K01015,10,EXPLEOSOL.NS
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-APR-1995,10,1,INE188A01015,10,FACT.NS
FAIRCHEM,Fairchem Speciality Limited,EQ,08-MAY-2015,10,1,INE959A01019,10,FAIRCHEM.NS
FCL,Fineotex Chemical Limited,EQ,15-JAN-2015,2,1,INE045J01026,2,FCL.NS
FCONSUMER,Future Consumer Limited,EQ,04-JUL-2013,6,1,INE220J01025,6,FCONSUMER.NS
FCSSOFT,FCS Software Solutions Limited,EQ,21-SEP-2005,1,1,INE512B01022,1,FCSSOFT.NS
FDC,FDC Limited,EQ,07-AUG-1997,1,1,INE258B01022,1,FDC.NS
FEDERALBNK,The Federal Bank  Limited,EQ,08-FEB-1995,2,1,INE171A01029,2,FEDERALBNK.NS
FEL,Future Enterprises Limited,EQ,05-NOV-2001,2,1,INE623B01027,2,FEL.NS
FELDVR,Future Enterprises Limited,EQ,13-FEB-2009,2,1,IN9623B01058,2,FELDVR.NS
FIEMIND,Fiem Industries Limited,EQ,19-OCT-2006,10,1,INE737H01014,10,FIEMIND.NS
FILATEX,Filatex India Limited,EQ,29-AUG-2011,2,1,INE816B01027,2,FILATEX.NS
FINCABLES,Finolex Cables Limited,EQ,15-FEB-1995,2,1,INE235A01022,2,FINCABLES.NS
FINEORG,Fine Organic Industries Limited,EQ,02-JUL-2018,5,1,INE686Y01026,5,FINEORG.NS
FINPIPE,Finolex Industries Limited,EQ,08-FEB-1995,10,1,INE183A01016,10,FINPIPE.NS
FLEXITUFF,Flexituff Ventures International Limited,BE,19-OCT-2011,10,1,INE060J01017,10,FLEXITUFF.NS
FLFL,Future Lifestyle Fashions Limited,EQ,01-OCT-2013,2,1,INE452O01016,2,FLFL.NS
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-OCT-2019,1,1,INE09N301011,1,FLUOROCHEM.NS
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-FEB-1995,10,1,INE529A01010,10,FMGOETZE.NS
FMNL,Future Market Networks Limited,EQ,31-DEC-2010,10,1,INE360L01017,10,FMNL.NS
FORCEMOT,FORCE MOTORS LTD,EQ,03-NOV-1994,10,1,INE451A01017,10,FORCEMOT.NS
FORTIS,Fortis Healthcare Limited,EQ,09-MAY-2007,10,1,INE061F01013,10,FORTIS.NS
FOSECOIND,Foseco India Limited,EQ,05-MAY-2003,10,1,INE519A01011,10,FOSECOIND.NS
FRETAIL,Future Retail Limited,EQ,29-AUG-2016,2,1,INE752P01024,2,FRETAIL.NS
FSC,Future Supply Chain Solutions Limited,EQ,18-DEC-2017,10,1,INE935Q01015,10,FSC.NS
FSL,Firstsource Solutions Limited,EQ,22-FEB-2007,10,1,INE684F01012,10,FSL.NS
GABRIEL,Gabriel India Limited,EQ,20-APR-2005,1,1,INE524A01029,1,GABRIEL.NS
GAEL,Gujarat Ambuja Exports Limited,EQ,11-OCT-2000,2,1,INE036B01022,2,GAEL.NS
GAIL,GAIL (India) Limited,EQ,02-APR-1997,10,1,INE129A01019,10,GAIL.NS
GAL,Gyscoal Alloys Limited,EQ,27-OCT-2010,1,1,INE482J01021,1,GAL.NS
GALAXYSURF,Galaxy Surfactants Limited,EQ,08-FEB-2018,10,1,INE600K01018,10,GALAXYSURF.NS
GALLANTT,Gallantt Metal Limited,EQ,04-APR-2006,10,1,INE297H01019,10,GALLANTT.NS
GALLISPAT,Gallantt Ispat Limited,EQ,11-OCT-2010,1,1,INE528K01029,1,GALLISPAT.NS
GAMMNINFRA,Gammon Infrastructure Projects Limited,EQ,03-APR-2008,2,1,INE181G01025,2,GAMMNINFRA.NS
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-JAN-2007,5,1,INE524B01027,5,GANDHITUBE.NS
GANECOS,Ganesha Ecosphere Limited,EQ,09-MAR-2015,10,1,INE845D01014,10,GANECOS.NS
GANESHHOUC,Ganesh Housing Corporation Limited,EQ,02-MAR-2007,10,1,INE460C01014,10,GANESHHOUC.NS
GANGESSECU,Ganges Securities Limited,EQ,28-JUL-2017,10,1,INE335W01016,10,GANGESSECU.NS
GARDENSILK,Garden Silk Mills Limited,EQ,01-APR-2003,10,1,INE526A01016,10,GARDENSILK.NS
GARFIBRES,Garware Technical Fibres Limited,EQ,03-APR-2007,10,1,INE276A01018,10,GARFIBRES.NS
GATI,GATI Limited,EQ,10-OCT-2006,2,1,INE152B01027,2,GATI.NS
GAYAHWS,Gayatri Highways Limited,BE,28-JUN-2018,2,1,INE287Z01012,2,GAYAHWS.NS
GAYAPROJ,Gayatri Projects Limited,BE,22-AUG-2011,2,1,INE336H01023,2,GAYAPROJ.NS
GBGLOBAL,GB Global Limited,BE,04-JUN-2019,10,1,INE087J01028,10,GBGLOBAL.NS
GDL,Gateway Distriparks Limited,EQ,31-MAR-2005,10,1,INE852F01015,10,GDL.NS
GEECEE,GeeCee Ventures Limited,EQ,04-OCT-2006,10,1,INE916G01016,10,GEECEE.NS
GEEKAYWIRE,Geekay Wires Limited,EQ,06-MAR-2020,10,1,INE669X01016,10,GEEKAYWIRE.NS
GENESYS,Genesys International Corporation Limited,EQ,23-JAN-2003,5,1,INE727B01026,5,GENESYS.NS
GENUSPAPER,Genus Paper & Boards Limited,EQ,16-FEB-2015,1,1,INE949P01018,1,GENUSPAPER.NS
GENUSPOWER,Genus Power Infrastructures Limited,EQ,08-JUL-2005,1,1,INE955D01029,1,GENUSPOWER.NS
GEOJITFSL,Geojit Financial Services Limited,EQ,01-JUL-2005,1,1,INE007B01023,1,GEOJITFSL.NS
GEPIL,GE Power India Limited,EQ,19-APR-2000,10,1,INE878A01011,10,GEPIL.NS
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-NOV-2006,10,1,INE017A01032,10,GESHIP.NS
GET&D,GE T&D India Limited,EQ,30-JUN-2008,2,1,INE200A01026,2,GET&D.NS
GFLLIMITED,GFL Limited,EQ,25-MAY-1995,1,1,INE538A01037,1,GFLLIMITED.NS
GFSTEELS,Grand Foundry Limited,BE,22-JUL-2019,4,1,INE534A01028,4,GFSTEELS.NS
GHCL,GHCL Limited,EQ,31-JUL-2003,10,1,INE539A01019,10,GHCL.NS
GICHSGFIN,GIC Housing Finance Limited,EQ,08-MAY-1996,10,1,INE289B01019,10,GICHSGFIN.NS
GICRE,General Insurance Corporation of India,EQ,25-OCT-2017,5,1,INE481Y01014,5,GICRE.NS
GILLANDERS,Gillanders Arbuthnot & Company Limited,BE,14-DEC-2009,10,1,INE047B01011,10,GILLANDERS.NS
GILLETTE,Gillette India Limited,EQ,30-JUL-2003,10,1,INE322A01010,10,GILLETTE.NS
GINNIFILA,Ginni Filaments Limited,EQ,10-MAY-1995,10,1,INE424C01010,10,GINNIFILA.NS
GIPCL,Gujarat Industries Power Company Limited,EQ,08-FEB-1995,10,1,INE162A01010,10,GIPCL.NS
GISOLUTION,GI Engineering Solutions Limited,EQ,30-JAN-2009,10,1,INE065J01016,10,GISOLUTION.NS
GKWLIMITED,GKW Limited,EQ,20-JUL-2009,10,1,INE528A01020,10,GKWLIMITED.NS
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-DEC-2000,10,1,INE159A01016,10,GLAXO.NS
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-FEB-2000,1,1,INE935A01035,1,GLENMARK.NS
GLFL,Gujarat Lease Financing Limited,BE,08-FEB-1995,10,1,INE540A01017,10,GLFL.NS
GLOBALVECT,Global Vectra Helicorp Limited,EQ,27-OCT-2006,10,1,INE792H01019,10,GLOBALVECT.NS
GLOBOFFS,Global Offshore Services Limited,EQ,03-MAY-2007,10,1,INE446C01013,10,GLOBOFFS.NS
