"Symbol","Date","Security Name","Quantity"
"IDEA","03-Jan-2017","IDEA CELLULAR LIMITED","147000"
"ULTRACEMCO","05-Jan-2017","ULTRATECH CEMENT LIMITED","10000"
"BAJFINANCE","05-Jan-2017","BAJAJ FINANCE LIMITED","125000"
"AMARAJABAT","05-Jan-2017","AMARA RAJA BATTERIES LIMITED","12600"
"BHARTIARTL","02-Feb-2017","BHARTI AIRTEL LIMITED","103700"
"CANBK","02-Feb-2017","CANARA BANK","51000"
"UNIONBANK","02-Feb-2017","UNION BANK OF INDIA","68000"
"INFY","06-Feb-2017","INFOSYS TECHNOLOGIES LTD","29000"
"OIL","06-Feb-2017","OIL INDIA LTD","6798"
"INFY","07-Feb-2017","INFOSYS TECHNOLOGIES LTD","21000"
"TCS","08-Feb-2017","TATA CONSULTANCY SERV LT","6000"
"IOC","15-Feb-2017","INDIAN OIL CORP LTD","207590"
"INFY","15-Feb-2017","INFOSYS TECHNOLOGIES LTD","5000"
"INFY","16-Feb-2017","INFOSYS TECHNOLOGIES LTD","51747"
"IOC","16-Feb-2017","INDIAN OIL CORP LTD","52851"
"VOLTAS","16-Feb-2017","VOLTAS LTD","28000"
"DABUR","21-Feb-2017","DABUR INDIA LTD","17500"
"RECLTD","21-Feb-2017","RURAL ELEC CORP. LTD.","6000"
"VOLTAS","21-Feb-2017","VOLTAS LTD","10000"
"CANBK","22-Feb-2017","CANARA BANK","95590"
"ORIENTBANK","21-Mar-2017","ORIENTAL BANK OF COMMERCE","114000"
"YESBANK","24-Mar-2017","YES BANK LIMITED","4900"
"IOC","03-May-2017","INDIAN OIL CORP LTD","187500"
"ULTRACEMCO","03-May-2017","ULTRATECH CEMENT LIMITED","5000"
"HDFCBANK","04-May-2017","HDFC BANK LTD","8500"
"KOTAKBANK","04-May-2017","KOTAK MAHINDRA BANK LTD","41600"
"ULTRACEMCO","04-May-2017","ULTRATECH CEMENT LIMITED","4600"
"UNIONBANK","04-May-2017","UNION BANK OF INDIA","100000"
"UNIONBANK","05-May-2017","UNION BANK OF INDIA","28000"
"PNB","05-May-2017","PUNJAB NATIONAL BANK","10500"
"GRASIM","05-May-2017","GRASIM INDUSTRIES LTD","2250"
"ICICIBANK","05-May-2017","ICICI BANK LTD.","2500"
"INFIBEAM","08-May-2017","INFIBEAM INCORP. LIMITED    ","8994"
"ULTRACEMCO","08-May-2017","ULTRATECH CEMENT LIMITED","9600"
"IOC","09-May-2017","INDIAN OIL CORP LTD","115540"
"BHARATFORG","24-May-2017","BHARAT FORGE LTD","7"
"HDFCBANK","09-Jun-2017","HDFC BANK LTD","47500"
"RELINFRA","12-Jun-2017","Reliance Infrastructure Limited","9"
"HDFCBANK","13-Jun-2017","HDFC BANK LTD","80500"
"RELIANCE","17-Jul-2017","RELIANCE INDUSTRIES LTD","82000"
"VGUARD","02-Aug-2017","V-GUARD IND LTD.    ","22755"
"RBLBANK","02-Aug-2017","RBL BANK LIMITED    ","24000"
"ITC","02-Aug-2017","ITC LTD","16800"
"TCS","03-Aug-2017","TATA CONSULTANCY SERV LT","3000"
"DABUR","03-Aug-2017","DABUR INDIA LTD","15000"
"HINDUNILVR","04-Aug-2017","HINDUSTAN UNILEVER LTD.","697"
"TCS","04-Aug-2017","TATA CONSULTANCY SERV LT","7983"
"HINDUNILVR","07-Aug-2017","HINDUSTAN UNILEVER LTD.","1200"
"TCS","07-Aug-2017","TATA CONSULTANCY SERV LT","250"
"RBLBANK","07-Aug-2017","RBL BANK LIMITED    ","51000"
"TVSMOTOR","10-Aug-2017","TVS MOTOR COMPANY  LTD","28000"
"KOTAKBANK","11-Aug-2017","KOTAK MAHINDRA BANK LTD","2400"
"INFY","11-Aug-2017","INFOSYS TECHNOLOGIES LTD","19500"
"TATASTEEL","14-Aug-2017","TATA STEEL LIMITED","72000"
"BAJFINANCE","07-Sep-2017","BAJAJ FINANCE LIMITED","107500"
"KOTAKBANK","07-Sep-2017","KOTAK MAHINDRA BANK LTD","13600"
"HDFCBANK","11-Sep-2017","HDFC BANK LTD","3000"
"INDUSINDBK","11-Sep-2017","INDUSIND BANK LIMITED","58200"
"KOTAKBANK","12-Sep-2017","KOTAK MAHINDRA BANK LTD","15200"
"LT","18-Sep-2017","LARSEN &amp; TOUBRO LTD.","22500"
"ICICIBANK","02-Nov-2017","ICICI BANK LTD.","275000"
"COALINDIA","02-Nov-2017","COALINDIA","51000"
"AXISBANK","03-Nov-2017","AXIS BANK LIMITED","75600"
"INDUSINDBK","03-Nov-2017","INDUSIND BANK LIMITED","21900"
"COALINDIA","07-Nov-2017","COALINDIA","28900"
"SBBJ","07-Nov-2017","STATE BANK OF BIKANER &amp; J ","3000"
"INDUSINDBK","07-Nov-2017","INDUSIND BANK LIMITED","21000"
"COALINDIA","08-Nov-2017","COALINDIA","45900"
"TCS","08-Nov-2017","TATA CONSULTANCY SERV LT","13750"
"INDUSINDBK","08-Nov-2017","INDUSIND BANK LIMITED","61500"
"TCS","09-Nov-2017","TATA CONSULTANCY SERV LT","14000"
"INDUSINDBK","10-Nov-2017","INDUSIND BANK LIMITED","65400"
"ICICIBANK","10-Nov-2017","ICICI BANK LTD.","49500"
"LT","13-Nov-2017","LARSEN &amp; TOUBRO LTD.","50250"
"GAIL","15-Nov-2017","GAIL (INDIA) LTD","174000"
"HINDALCO","17-Nov-2017","HINDALCO  INDUSTRIES  LTD","898"
"EICHERMOT","17-Nov-2017","EICHER MOTORS LIMITED","8"
"VOLTAS","20-Nov-2017","VOLTAS LTD","22000"
"TVSMOTOR","23-Nov-2017","TVS MOTOR COMPANY  LTD","112000"
"INDUSINDBK","23-Nov-2017","INDUSIND BANK LIMITED","638"
"BPCL","27-Nov-2017","BHARAT PETROLEUM CORP  LT","84600"
"AMARAJABAT","30-Nov-2017","AMARA RAJA BATTERIES LIMITED","391"
"MGL","30-Nov-2017","MAHANAGAR GAS LTD.    ","117"
"ASHOKLEY","30-Nov-2017","ASHOK LEYLAND LTD","3262"
"ASIANPAINT","30-Nov-2017","ASIAN PAINTS LIMITED","58"
"AUROPHARMA","30-Nov-2017","AUROBINDO PHARMA LTD","531"
"BAJAJ-AUTO","30-Nov-2017","BAJAJ AUTO LIMITED","185"
"BANKINDIA","30-Nov-2017","BANK OF INDIA","1423"
"BATAINDIA","30-Nov-2017","BATA INDIA LTD","6"
"BERGEPAINT","30-Nov-2017","BERGER PAINTS (I) LIMITED","985"
"BHARTIARTL","30-Nov-2017","BHARTI AIRTEL LIMITED","1875"
"BHEL","30-Nov-2017","BHEL","1678"
"BIOCON","30-Nov-2017","BIOCON LIMITED.","1220"
"BRITANNIA","30-Nov-2017","BRITANNIA INDUSTRIES LIMITED","152"
"CANBK","30-Nov-2017","CANARA BANK","1243"
"CHENNPETRO","30-Nov-2017","CHENNAI PETROLEUM CORP LT","759"
"CHOLAFIN","30-Nov-2017","CHOLAMANDALAM IN &amp; FIN CO","147"
"CIPLA","30-Nov-2017","CIPLA LTD","687"
"COLPAL","30-Nov-2017","COLGATE PALMOLIVE LTD.","5442"
"CONCOR","30-Nov-2017","CONTAINER CORP OF IND LTD","73"
"DLF","30-Nov-2017","DLF LIMITED","3470"
"DRREDDY","30-Nov-2017","DR. REDDY'S LABORATORIES","251"
"ENGINERSIN","30-Nov-2017","ENGINEERS INDIA LTD","1105"
"ESCORTS","30-Nov-2017","ESCORTS INDIA LTD","1327"
"FORTIS","30-Nov-2017","FORTIS HEALTHCARE (I) LTD","2906"
"GAIL","30-Nov-2017","GAIL (INDIA) LTD","142"
"GODREJCP","30-Nov-2017","GODREJ CONSUMER PRODUCTS LIMITED","322"
"GRASIM","30-Nov-2017","GRASIM INDUSTRIES LTD","81"
"HDFC","30-Nov-2017","HDFC LTD","287"
"HDFCBANK","30-Nov-2017","HDFC BANK LTD","26500"
"HDIL","30-Nov-2017","HOUSING DEV &amp; INFRA LTD","1993"
"HEROMOTOCO","30-Nov-2017","HERO MOTOCORP LTD","182"
"HINDPETRO","30-Nov-2017","HINDUSTAN PETROLEUM CORP","2551"
"HINDUNILVR","30-Nov-2017","HINDUSTAN UNILEVER LTD.","1144"
"IBREALEST","30-Nov-2017","INDIABULLS REAL EST. LTD","1971"
"IBULHSGFIN","30-Nov-2017","INDIABULLS HOUSING FINANCE LIMITED","668"
"ICICIBANK","30-Nov-2017","ICICI BANK LTD.","2982"
"IDFC","30-Nov-2017","INFRA. DEV. FIN. CO. LTD","5373"
"INDIANB","30-Nov-2017","INDIAN BANK","1354"
"INDUSINDBK","30-Nov-2017","INDUSIND BANK LIMITED","44292"
"IOC","30-Nov-2017","INDIAN OIL CORP LTD","2219"
"IRB","30-Nov-2017","IRB INFRA DEV LTD.","3212"
"JETAIRWAYS","30-Nov-2017","JET AIRWAYS (INDIA) LTD.","602"
"JISLJALEQS","30-Nov-2017","JAIN IRRIGATION SYSTEMS","6735"
"JSWENERGY","30-Nov-2017","JSW ENERGY LIMITED","3183"
"JUSTDIAL","30-Nov-2017","JUST DIAL LIMITED","1082"
"KOTAKBANK","30-Nov-2017","KOTAK MAHINDRA BANK LTD","51296"
"KSCL","30-Nov-2017","KAVERI SEED CO. LTD.","553"
"MARICO","30-Nov-2017","MARICO LIMITED","192"
"MARUTI","30-Nov-2017","MARUTI SUZUKI INDIA LTD.","111"
"MCX","30-Nov-2017","MULTI COMMODITY EXCHANGE OF INDIA LIMITED","455"
"AMBUJACEM","30-Nov-2017","AMBUJA CEMENTS LTD","882"
"INDUSINDBK","01-Dec-2017","INDUSIND BANK LIMITED","22800"
"INFY","04-Dec-2017","INFOSYS TECHNOLOGIES LTD","13000"
"BPCL","05-Dec-2017","BHARAT PETROLEUM CORP  LT","16200"
"BRITANNIA","05-Dec-2017","BRITANNIA INDUSTRIES LIMITED","2600"
"INFY","05-Dec-2017","INFOSYS TECHNOLOGIES LTD","163500"
"KOTAKBANK","06-Dec-2017","KOTAK MAHINDRA BANK LTD","52000"
"INFY","06-Dec-2017","INFOSYS TECHNOLOGIES LTD","52000"
"COALINDIA","06-Dec-2017","COALINDIA","11900"
"GAIL","07-Dec-2017","GAIL (INDIA) LTD","70000"
"INFY","07-Dec-2017","INFOSYS TECHNOLOGIES LTD","15000"
"PAGEIND","08-Dec-2017","PAGE INDUSTRIES LTD","200"
"INFY","08-Dec-2017","INFOSYS TECHNOLOGIES LTD","30000"
"INFY","11-Dec-2017","INFOSYS TECHNOLOGIES LTD","36500"
"COALINDIA","12-Dec-2017","COALINDIA","17000"
"KOTAKBANK","12-Dec-2017","KOTAK MAHINDRA BANK LTD","56000"
"TVSMOTOR","12-Dec-2017","TVS MOTOR COMPANY  LTD","15000"
"NCC","13-Dec-2017","NCC LIMITED","8000"
"JUBLFOOD","14-Dec-2017","JUBILANT FOODWORKS LTD","83200"
"INFY","15-Dec-2017","INFOSYS TECHNOLOGIES LTD","26500"
"WIPRO","28-Dec-2017","WIPRO LTD","76800"
"VOLTAS","28-Dec-2017","VOLTAS LTD","55000"
