"Symbol","Date","Security Name","Quantity"
"GAIL","12-Feb-2015","GAIL (INDIA) LTD","50000"
"SAIL","25-Feb-2015","STEEL AUTHORITY OF INDIA","42094"
"SAIL","02-Mar-2015","STEEL AUTHORITY OF INDIA","4000"
"AXISBANK","02-Mar-2015","AXIS BANK LIMITED","50"
"SAIL","03-Mar-2015","STEEL AUTHORITY OF INDIA","4000"
"MMFIN","05-Mar-2015","MAHINDRA &amp; MAHINDRA FINANCIAL SERVICES LIMITED","7888"
"SUNPHARMA","05-Mar-2015","SUN PHARMACEUTICALS IND.","40250"
"INFY","09-Mar-2015","INFOSYS TECHNOLOGIES LTD","9000"
"SAIL","10-Mar-2015","STEEL AUTHORITY OF INDIA","16940"
"INFY","10-Mar-2015","INFOSYS TECHNOLOGIES LTD","26048"
"BHEL","10-Mar-2015","BHEL","1737"
"COLPAL","10-Mar-2015","COLGATE PALMOLIVE LTD.","9198"
"SAIL","11-Mar-2015","STEEL AUTHORITY OF INDIA","44000"
"M&amp;M","11-Mar-2015","MAHINDRA &amp; MAHINDRA LTD","3250"
"INFY","12-Mar-2015","INFOSYS TECHNOLOGIES LTD","21450"
"INFY","13-Mar-2015","INFOSYS TECHNOLOGIES LTD","19250"
"HDFC","16-Mar-2015","HDFC LTD","34750"
"HDFC","16-Mar-2015","HDFC LTD","34750"
"KOTAKBANK","09-Apr-2015","KOTAK MAHINDRA BANK LTD","25750"
"KOTAKBANK","09-Apr-2015","KOTAK MAHINDRA BANK LTD","25750"
"ITC","10-Apr-2015","ITC LTD","2000"
"BHEL","13-Apr-2015","BHEL","5000"
"GAIL","13-Apr-2015","GAIL (INDIA) LTD","98500"
"BHEL","27-Apr-2015","BHEL","28755"
"KOTAKBANK","11-May-2015","KOTAK MAHINDRA BANK LTD","29000"
"GAIL","11-May-2015","GAIL (INDIA) LTD","105386"
"TITAN","11-May-2015","TITAN INDUSTRIES LTD","63000"
"KOTAKBANK","12-May-2015","KOTAK MAHINDRA BANK LTD","1000"
"TITAN","12-May-2015","TITAN INDUSTRIES LTD","56969"
"GAIL","12-May-2015","GAIL (INDIA) LTD","14481"
"KOTAKBANK","13-May-2015","KOTAK MAHINDRA BANK LTD","18588"
"INDUSINDBK","13-May-2015","INDUSIND BANK LIMITED","6250"
"GAIL","13-May-2015","GAIL (INDIA) LTD","47000"
"GAIL","14-May-2015","GAIL (INDIA) LTD","500"
"KOTAKBANK","14-May-2015","KOTAK MAHINDRA BANK LTD","1000"
"BHEL","26-May-2015","BHEL","73000"
"NMDC","27-May-2015","NMDC LTD.","8000"
"UPL","29-May-2015","UPL LIMITED","36000"
"TATAMOTORS","29-May-2015","TATA MOTORS LIMITED","29290"
"M&amp;M","29-May-2015","MAHINDRA &amp; MAHINDRA LTD","5500"
"LUPIN","29-May-2015","LUPIN LIMITED","11500"
"BHARATFORG","29-May-2015","BHARAT FORGE LTD","119373"
"GAIL","29-May-2015","GAIL (INDIA) LTD","24500"
"BHARATFORG","29-May-2015","BHARAT FORGE LTD","119373"
"GAIL","29-May-2015","GAIL (INDIA) LTD","24500"
"UPL","29-May-2015","UPL LIMITED","36000"
"TATAMOTORS","29-May-2015","TATA MOTORS LIMITED","29290"
"M&amp;M","29-May-2015","MAHINDRA &amp; MAHINDRA LTD","5500"
"LUPIN","29-May-2015","LUPIN LIMITED","11500"
"MARUTI","23-Jun-2015","MARUTI SUZUKI INDIA LTD.","24"
"RCOM","02-Sep-2015","RELIANCE COMMUNICATIONS L","436"
"JINDALSTEL","23-Dec-2015","JINDAL STEEL &amp; POWER LTD","300"
