"Symbol","Date","Security Name","Quantity"
"DCBBANK","16-Jan-2019","DCB BANK LIMITED","4500"
"HDFCBANK","16-Jan-2019","HDFC BANK LTD","10000"
"DCBBANK","16-Jan-2019","DCB BANK LIMITED","4500"
"HDFCBANK","16-Jan-2019","HDFC BANK LTD","10000"
"VOLTAS","22-Jan-2019","VOLTAS LTD","12100"
"TVSMOTOR","22-Jan-2019","TVS MOTOR COMPANY  LTD","49000"
"AMARAJABAT","22-Jan-2019","AMARA RAJA BATTERIES LIMITED","3500"
"HDFCBANK","22-Jan-2019","HDFC BANK LTD","45000"
"KOTAKBANK","22-Jan-2019","KOTAK MAHINDRA BANK LTD","3200"
"TVSMOTOR","24-Jan-2019","TVS MOTOR COMPANY  LTD","1000"
"KOTAKBANK","24-Jan-2019","KOTAK MAHINDRA BANK LTD","6400"
"COLPAL","24-Jan-2019","COLGATE PALMOLIVE LTD.","1400"
"AMARAJABAT","24-Jan-2019","AMARA RAJA BATTERIES LIMITED","10500"
"ULTRACEMCO","24-Jan-2019","ULTRATECH CEMENT LIMITED","3800"
"VOLTAS","28-Jan-2019","VOLTAS LTD","12000"
"ZEEL","28-Jan-2019","ZEE ENTERTAINMENT ENT LTD","148200"
"AXISBANK","30-Jan-2019","AXIS BANK LIMITED","49200"
"BAJAJ-AUTO","30-Jan-2019","BAJAJ AUTO LIMITED","500"
"KOTAKBANK","30-Jan-2019","KOTAK MAHINDRA BANK LTD","120200"
"RBLBANK","30-Jan-2019","RBL BANK LIMITED    ","124800"
"AMARAJABAT","30-Jan-2019","AMARA RAJA BATTERIES LIMITED","2800"
"ALBK","30-Jan-2019","ALLAHABAD BANK","234000"
"HDFCBANK","30-Jan-2019","HDFC BANK LTD","52750"
"HDFCBANK","04-Feb-2019","HDFC BANK LTD","17250"
"CIPLA","06-Feb-2019","CIPLA LTD","260000"
"AXISBANK","06-Feb-2019","AXIS BANK LIMITED","99600"
"INDUSINDBK","06-Feb-2019","INDUSIND BANK LIMITED","12900"
"IDEA","08-Feb-2019","IDEA CELLULAR LIMITED","48000"
"KOTAKBANK","08-Feb-2019","KOTAK MAHINDRA BANK LTD","19200"
"TATAMOTORS","08-Feb-2019","TATA MOTORS LIMITED","8218"
"BPCL","11-Feb-2019","BHARAT PETROLEUM CORP  LT","18000"
"EICHERMOT","11-Feb-2019","EICHER MOTORS LIMITED","775"
"ONGC","11-Feb-2019","OIL AND NATURAL GAS CORP.","7500"
"UJJIVAN","11-Feb-2019","UJJIVAN FIN. SERVC. LTD.","76800"
"TATAMOTORS","11-Feb-2019","TATA MOTORS LIMITED","24000"
"BPCL","12-Feb-2019","BHARAT PETROLEUM CORP  LT","64800"
"CIPLA","12-Feb-2019","CIPLA LTD","14000"
"INDUSINDBK","12-Feb-2019","INDUSIND BANK LIMITED","24900"
"LT","12-Feb-2019","LARSEN &amp; TOUBRO LTD.","7125"
"TATAMOTORS","12-Feb-2019","TATA MOTORS LIMITED","1782"
"TATAMOTORS","12-Feb-2019","TATA MOTORS LIMITED","1782"
"LT","12-Feb-2019","LARSEN &amp; TOUBRO LTD.","7125"
"INDUSINDBK","12-Feb-2019","INDUSIND BANK LIMITED","24900"
"CIPLA","12-Feb-2019","CIPLA LTD","14000"
"AXISBANK","12-Feb-2019","AXIS BANK LIMITED","10800"
"AXISBANK","12-Feb-2019","AXIS BANK LIMITED","10800"
"BPCL","12-Feb-2019","BHARAT PETROLEUM CORP  LT","64800"
"UJJIVAN","13-Feb-2019","UJJIVAN FIN. SERVC. LTD.","12800"
"VOLTAS","13-Feb-2019","VOLTAS LTD","37000"
"PEL","13-Feb-2019","PIRAMAL ENTERPRISES LTD","30200"
"INDUSINDBK","13-Feb-2019","INDUSIND BANK LIMITED","24900"
"CUMMINSIND","13-Feb-2019","CUMMINS INDIA LTD","7000"
"BPCL","13-Feb-2019","BHARAT PETROLEUM CORP  LT","23400"
"EICHERMOT","14-Feb-2019","EICHER MOTORS LIMITED","875"
"TVSMOTOR","14-Feb-2019","TVS MOTOR COMPANY  LTD","9208"
"VOLTAS","14-Feb-2019","VOLTAS LTD","30974"
"LT","15-Feb-2019","LARSEN &amp; TOUBRO LTD.","3750"
"ITC","15-Feb-2019","ITC LTD","667201"
"KOTAKBANK","26-Feb-2019","KOTAK MAHINDRA BANK LTD","221600"
"TATAMOTORS","26-Feb-2019","TATA MOTORS LIMITED","380000"
