"Symbol","Date","Security Name","Quantity"
"CAIRN","03-Jan-2012","CAIRN INDIA LIMITED","7912"
"KOTAKBANK","03-Jan-2012","KOTAK MAHINDRA BANK LTD","62351"
"PUNJLLOYD","04-Jan-2012","PUNJ LLOYD LIMITED","4000"
"GRASIM","04-Jan-2012","GRASIM INDUSTRIES LTD","99"
"CAIRN","04-Jan-2012","CAIRN INDIA LIMITED","35000"
"MUNDRAPORT","04-Jan-2012","MUNDRA PORT &amp; SEZ LTD","2000"
"LICHSGFIN","05-Jan-2012","LIC HOUSING FINANCE LTD","404"
"MUNDRAPORT","05-Jan-2012","MUNDRA PORT &amp; SEZ LTD","26000"
"PNB","05-Jan-2012","PUNJAB NATIONAL BANK","11621"
"PUNJLLOYD","05-Jan-2012","PUNJ LLOYD LIMITED","31375"
"TATAMOTORS","05-Jan-2012","TATA MOTORS LIMITED","40000"
"AXISBANK","05-Jan-2012","AXIS BANK LIMITED","15624"
"CAIRN","05-Jan-2012","CAIRN INDIA LIMITED","18000"
"ABAN","06-Jan-2012","ABAN OFFSHORE LTD.","5000"
"AXISBANK","06-Jan-2012","AXIS BANK LIMITED","5887"
"CAIRN","06-Jan-2012","CAIRN INDIA LIMITED","56005"
"IDBI","06-Jan-2012","IDBI Bank Limited","3597"
"IDEA","06-Jan-2012","IDEA CELLULAR LIMITED","28000"
"RANBAXY","06-Jan-2012","RANBAXY LABS LTD","5000"
"LICHSGFIN","06-Jan-2012","LIC HOUSING FINANCE LTD","42000"
"MUNDRAPORT","06-Jan-2012","MUNDRA PORT &amp; SEZ LTD","51550"
"PNB","06-Jan-2012","PUNJAB NATIONAL BANK","850"
"PUNJLLOYD","06-Jan-2012","PUNJ LLOYD LIMITED","56000"
"KOTAKBANK","06-Jan-2012","KOTAK MAHINDRA BANK LTD","16000"
"AXISBANK","09-Jan-2012","AXIS BANK LIMITED","22750"
"CAIRN","09-Jan-2012","CAIRN INDIA LIMITED","28503"
"LT","09-Jan-2012","LARSEN &amp; TOUBRO LTD.","1000"
"ICICIBANK","09-Jan-2012","ICICI BANK LTD.","4000"
"KOTAKBANK","09-Jan-2012","KOTAK MAHINDRA BANK LTD","5500"
"HEROMOTOCO","09-Jan-2012","HERO MOTOCORP LTD","625"
"AXISBANK","10-Jan-2012","AXIS BANK LIMITED","4750"
"HEROMOTOCO","10-Jan-2012","HERO MOTOCORP LTD","2375"
"CAIRN","10-Jan-2012","CAIRN INDIA LIMITED","91712"
"ABB","11-Jan-2012","ABB LTD.","7582"
"ASHOKLEY","11-Jan-2012","ASHOK LEYLAND LTD","8000"
"INDUSINDBK","11-Jan-2012","INDUSIND BANK LIMITED","4000"
"GMRINFRA","11-Jan-2012","GMR INFRASTRUCTURE LTD.","8000"
"HEROMOTOCO","11-Jan-2012","HERO MOTOCORP LTD","5125"
"CAIRN","11-Jan-2012","CAIRN INDIA LIMITED","41914"
"HAVELLS","12-Jan-2012","HAVELLS INDIA LIMITED","4000"
"TATASTEEL","12-Jan-2012","TATA STEEL LIMITED","500"
"SBIN","12-Jan-2012","STATE BANK OF INDIA","13500"
"HEROMOTOCO","12-Jan-2012","HERO MOTOCORP LTD","865"
"ABB","16-Jan-2012","ABB LTD.","2250"
"HEROMOTOCO","16-Jan-2012","HERO MOTOCORP LTD","750"
"TTKPRESTIG","16-Jan-2012","TTK PRESTIGE LTD","500"
"TATASTEEL","16-Jan-2012","TATA STEEL LIMITED","1000"
"INDUSINDBK","16-Jan-2012","INDUSIND BANK LIMITED","5000"
"MARUTI","17-Jan-2012","MARUTI SUZUKI INDIA LTD.","32250"
"ABB","17-Jan-2012","ABB LTD.","500"
"ABAN","18-Jan-2012","ABAN OFFSHORE LTD.","5000"
"AREVAT&amp;D","18-Jan-2012","AREVA T&amp;D INDIA LIMITED.","2000"
"SESAGOA","18-Jan-2012","SESA GOA LTD","74704"
"LT","18-Jan-2012","LARSEN &amp; TOUBRO LTD.","6000"
"MARUTI","18-Jan-2012","MARUTI SUZUKI INDIA LTD.","48500"
"HEROMOTOCO","18-Jan-2012","HERO MOTOCORP LTD","125"
"AREVAT&amp;D","19-Jan-2012","AREVA T&amp;D INDIA LIMITED.","12975"
"MARUTI","19-Jan-2012","MARUTI SUZUKI INDIA LTD.","2750"
"ICICIBANK","19-Jan-2012","ICICI BANK LTD.","250"
"BOMDYEING","19-Jan-2012","BOMBAY DYEING &amp; MFG. CO L","2900"
"AXISBANK","20-Jan-2012","AXIS BANK LIMITED","38489"
"ICICIBANK","20-Jan-2012","ICICI BANK LTD.","250"
"HEROMOTOCO","20-Jan-2012","HERO MOTOCORP LTD","250"
"BANKBARODA","20-Jan-2012","BANK OF BARODA","17000"
"COALINDIA","23-Jan-2012","COALINDIA","20000"
"ABB","23-Jan-2012","ABB LTD.","841"
"ABB","24-Jan-2012","ABB LTD.","7500"
"MUNDRAPORT","24-Jan-2012","MUNDRA PORT &amp; SEZ LTD","8000"
"COALINDIA","24-Jan-2012","COALINDIA","29000"
"ABB","25-Jan-2012","ABB LTD.","2500"
"VIDEOIND","25-Jan-2012","VIDEOCON INDUSTRIES LIMIT","8000"
"COALINDIA","25-Jan-2012","COALINDIA","82000"
"CAIRN","25-Jan-2012","CAIRN INDIA LIMITED","17000"
"ABB","30-Jan-2012","ABB LTD.","1753"
"AXISBANK","30-Jan-2012","AXIS BANK LIMITED","20000"
"COALINDIA","30-Jan-2012","COALINDIA","58000"
"TATAMOTORS","30-Jan-2012","TATA MOTORS LIMITED","6000"
"LT","30-Jan-2012","LARSEN &amp; TOUBRO LTD.","4500"
"ORIENTBANK","30-Jan-2012","ORIENTAL BANK OF COMMERCE","1000"
"RANBAXY","30-Jan-2012","RANBAXY LABS LTD","4000"
"LICHSGFIN","30-Jan-2012","LIC HOUSING FINANCE LTD","46800"
"COALINDIA","31-Jan-2012","COALINDIA","5000"
"CAIRN","01-Feb-2012","CAIRN INDIA LIMITED","5000"
"TATAMOTORS","02-Feb-2012","TATA MOTORS LIMITED","24000"
"SBIN","02-Feb-2012","STATE BANK OF INDIA","1000"
"PUNJLLOYD","02-Feb-2012","PUNJ LLOYD LIMITED","20000"
"KOTAKBANK","02-Feb-2012","KOTAK MAHINDRA BANK LTD","47500"
"ABB","02-Feb-2012","ABB LTD.","7500"
"ABAN","02-Feb-2012","ABAN OFFSHORE LTD.","7000"
"YESBANK","02-Feb-2012","YES BANK LIMITED","34000"
"HEROMOTOCO","02-Feb-2012","HERO MOTOCORP LTD","5750"
"SBIN","03-Feb-2012","STATE BANK OF INDIA","2500"
