"Symbol","Date","Security Name","Quantity"
"SSLT ","06-Jan-2014","SESA STERLITE LIMITED","200"
"GODREJIND","21-Jan-2014","GODREJ INDUSTRIES LTD","60"
"IFCI","25-Apr-2014","IFCI LTD","100"
"BHEL","16-May-2014","BHEL","20"
"TITAN","16-May-2014","TITAN INDUSTRIES LTD","25"
"SBIN","23-May-2014","STATE BANK OF INDIA","50"
"ITC","02-Jul-2014","ITC LTD","150"
"BHEL","21-Oct-2014","BHEL","82000"
"ICICIBANK","21-Oct-2014","ICICI BANK LTD.","1500"
"PETRONET","21-Oct-2014","PETRONET LNG LIMITED","14000"
"SAIL","22-Oct-2014","STEEL AUTHORITY OF INDIA","61860"
"BHEL","22-Oct-2014","BHEL","15200"
"JUBLFOOD","22-Oct-2014","JUBILANT FOODWORKS LTD","2145"
"BANKINDIA","27-Oct-2014","BANK OF INDIA","13000"
"BHEL","27-Oct-2014","BHEL","66000"
"SAIL","28-Oct-2014","STEEL AUTHORITY OF INDIA","40000"
"INDUSINDBK","31-Oct-2014","INDUSIND BANK LIMITED","6000"
"ORIENTBANK","31-Oct-2014","ORIENTAL BANK OF COMMERCE","1000"
"GAIL","31-Oct-2014","GAIL (INDIA) LTD","5000"
"COALINDIA","31-Oct-2014","COALINDIA","26000"
"BANKINDIA","31-Oct-2014","BANK OF INDIA","15000"
"LT","31-Oct-2014","LARSEN &amp; TOUBRO LTD.","5000"
"SAIL","05-Nov-2014","STEEL AUTHORITY OF INDIA","4000"
"COALINDIA","07-Nov-2014","COALINDIA","6000"
"SAIL","07-Nov-2014","STEEL AUTHORITY OF INDIA","87610"
"LT","07-Nov-2014","LARSEN &amp; TOUBRO LTD.","2500"
"BHEL","07-Nov-2014","BHEL","201626"
"JUBLFOOD","10-Nov-2014","JUBILANT FOODWORKS LTD","1250"
"APOLLOTYRE","10-Nov-2014","APOLLO TYRES LTD","100"
"BHEL","10-Nov-2014","BHEL","68000"
"SAIL","10-Nov-2014","STEEL AUTHORITY OF INDIA","61109"
"SUNPHARMA","10-Nov-2014","SUN PHARMACEUTICALS IND.","7750"
"VOLTAS","10-Nov-2014","VOLTAS LTD","20"
"SUNPHARMA","11-Nov-2014","SUN PHARMACEUTICALS IND.","50445"
"LT","11-Nov-2014","LARSEN &amp; TOUBRO LTD.","9000"
"BHEL","11-Nov-2014","BHEL","3800"
"PETRONET","12-Nov-2014","PETRONET LNG LIMITED","13640"
"ASHOKLEY","12-Nov-2014","ASHOK LEYLAND LTD","121000"
"BHEL","12-Nov-2014","BHEL","1000"
"SAIL","12-Nov-2014","STEEL AUTHORITY OF INDIA","120520"
"SIEMENS","14-Nov-2014","SIEMENS LTD","5"
"GAIL","18-Nov-2014","GAIL (INDIA) LTD","500"
"BHEL","18-Nov-2014","BHEL","1000"
"ICICIBANK","18-Nov-2014","ICICI BANK LTD.","500"
"BANKBARODA","18-Nov-2014","BANK OF BARODA","8750"
"DRREDDY","20-Nov-2014","DR. REDDY'S LABORATORIES","1750"
"BHEL","20-Nov-2014","BHEL","3830"
"ICICIBANK","20-Nov-2014","ICICI BANK LTD.","500"
"LT","20-Nov-2014","LARSEN &amp; TOUBRO LTD.","4575"
"LT","21-Nov-2014","LARSEN &amp; TOUBRO LTD.","3425"
"DRREDDY","21-Nov-2014","DR. REDDY'S LABORATORIES","125"
"KOTAKBANK","21-Nov-2014","KOTAK MAHINDRA BANK LTD","6450"
"ICICIBANK","21-Nov-2014","ICICI BANK LTD.","750"
"BHEL","21-Nov-2014","BHEL","1000"
"POWERGRID","24-Nov-2014","POWER GRID CORP. LTD.","48000"
"POWERGRID","25-Nov-2014","POWER GRID CORP. LTD.","287157"
"HINDUNILVR","25-Nov-2014","HINDUSTAN UNILEVER LTD.","500"
"ZEEL","25-Nov-2014","ZEE ENTERTAINMENT ENT LTD","75000"
"POWERGRID","27-Nov-2014","POWER GRID CORP. LTD.","100000"
"POWERGRID","28-Nov-2014","POWER GRID CORP. LTD.","20000"
"COALINDIA","28-Nov-2014","COALINDIA","53000"
"BHEL","28-Nov-2014","BHEL","5000"
"SAIL","28-Nov-2014","STEEL AUTHORITY OF INDIA","48000"
"COALINDIA","01-Dec-2014","COALINDIA","214614"
"SAIL","01-Dec-2014","STEEL AUTHORITY OF INDIA","15900"
"COALINDIA","02-Dec-2014","COALINDIA","27000"
"COALINDIA","04-Dec-2014","COALINDIA","73000"
"MMFIN","05-Dec-2014","MAHINDRA &amp; MAHINDRA FINANCIAL SERVICES LIMITED","28000"
"COALINDIA","05-Dec-2014","COALINDIA","14000"
"SRTRANSFIN","05-Dec-2014","SHRIRAM TRANSPORT FIN CO.","5"
"BHEL","08-Dec-2014","BHEL","8000"
"SRTRANSFIN","08-Dec-2014","SHRIRAM TRANSPORT FIN CO.","10"
"BHEL","09-Dec-2014","BHEL","7000"
"HAVELLS","10-Dec-2014","HAVELLS INDIA LIMITED","1250"
"KOTAKBANK","11-Dec-2014","KOTAK MAHINDRA BANK LTD","10000"
"HDIL","12-Dec-2014","HOUSING DEV &amp; INFRA LTD","36000"
"SAIL","16-Dec-2014","STEEL AUTHORITY OF INDIA","88000"
"SUNPHARMA","17-Dec-2014","SUN PHARMACEUTICALS IND.","25000"
"SAIL","19-Dec-2014","STEEL AUTHORITY OF INDIA","48000"
"SAIL","22-Dec-2014","STEEL AUTHORITY OF INDIA","28000"
"POWERGRID","23-Dec-2014","POWER GRID CORP. LTD.","10000"
