"Symbol","Date","Security Name","Quantity"
"INFY","03-Jan-2018","INFOSYS TECHNOLOGIES LTD","29400"
"KOTAKBANK","03-Jan-2018","KOTAK MAHINDRA BANK LTD","64800"
"COLPAL","03-Jan-2018","COLGATE PALMOLIVE LTD.","8400"
"PRAJIND","04-Jan-2018","PRAJ INDUSTRIES LTD","626"
"TECHM","04-Jan-2018","TECH MAHINDRA LIMITED","62400"
"LT","04-Jan-2018","LARSEN &amp; TOUBRO LTD.","120000"
"KOTAKBANK","04-Jan-2018","KOTAK MAHINDRA BANK LTD","99154"
"ASIANPAINT","04-Jan-2018","ASIAN PAINTS LIMITED","90000"
"TCS","04-Jan-2018","TATA CONSULTANCY SERV LT","41000"
"KOTAKBANK","05-Jan-2018","KOTAK MAHINDRA BANK LTD","45623"
"UNITECH","05-Jan-2018","UNITECH LTD","4342"
"TECHM","05-Jan-2018","TECH MAHINDRA LIMITED","157200"
"TCS","05-Jan-2018","TATA CONSULTANCY SERV LT","17750"
"LT","05-Jan-2018","LARSEN &amp; TOUBRO LTD.","59250"
"HEG","05-Jan-2018","HEG LIMITED","4"
"HDFCBANK","05-Jan-2018","HDFC BANK LTD","40000"
"TECHM","08-Jan-2018","TECH MAHINDRA LIMITED","30000"
"TECHM","09-Jan-2018","TECH MAHINDRA LIMITED","1200"
"WIPRO","12-Jan-2018","WIPRO LTD","2400"
"HDFCBANK","12-Jan-2018","HDFC BANK LTD","13000"
"ICICIBANK","15-Jan-2018","ICICI BANK LTD.","23000"
"WIPRO","15-Jan-2018","WIPRO LTD","16800"
"ICICIBANK","16-Jan-2018","ICICI BANK LTD.","82500"
"WIPRO","16-Jan-2018","WIPRO LTD","33600"
"ICICIBANK","17-Jan-2018","ICICI BANK LTD.","255750"
"KOTAKBANK","22-Jan-2018","KOTAK MAHINDRA BANK LTD","124800"
"INDUSINDBK","22-Jan-2018","INDUSIND BANK LIMITED","6000"
"BIOCON","22-Jan-2018","BIOCON LIMITED.","75600"
"TECHM","24-Jan-2018","TECH MAHINDRA LIMITED","94800"
"ICICIBANK","25-Jan-2018","ICICI BANK LTD.","558250"
"KOTAKBANK","25-Jan-2018","KOTAK MAHINDRA BANK LTD","9600"
"LT","25-Jan-2018","LARSEN &amp; TOUBRO LTD.","234750"
"INFY","25-Jan-2018","INFOSYS TECHNOLOGIES LTD","60000"
"INFIBEAM","05-Feb-2018","INFIBEAM INCORP. LIMITED    ","2320000"
"KOTAKBANK","09-Feb-2018","KOTAK MAHINDRA BANK LTD","17600"
"WIPRO","15-Feb-2018","WIPRO LTD","84000"
"TATASTEEL","15-Feb-2018","TATA STEEL LIMITED","37135"
"INDUSINDBK","15-Feb-2018","INDUSIND BANK LIMITED","7800"
"HDFCBANK","15-Feb-2018","HDFC BANK LTD","69500"
"HDFCBANK","16-Feb-2018","HDFC BANK LTD","37000"
"TATASTEEL","16-Feb-2018","TATA STEEL LIMITED","98673"
"HDFCBANK","19-Feb-2018","HDFC BANK LTD","17000"
"TATASTEEL","19-Feb-2018","TATA STEEL LIMITED","513734"
"TVSMOTOR","21-Feb-2018","TVS MOTOR COMPANY  LTD","5000"
"TVSMOTOR","22-Feb-2018","TVS MOTOR COMPANY  LTD","38000"
"BIOCON","22-Feb-2018","BIOCON LIMITED.","142200"
"KOTAKBANK","22-Feb-2018","KOTAK MAHINDRA BANK LTD","126230"
"TATASTEEL","26-Feb-2018","TATA STEEL LIMITED","12732"
"LT","26-Feb-2018","LARSEN &amp; TOUBRO LTD.","42000"
"KOTAKBANK","26-Feb-2018","KOTAK MAHINDRA BANK LTD","132800"
"LT","27-Feb-2018","LARSEN &amp; TOUBRO LTD.","75750"
"INDUSINDBK","28-Feb-2018","INDUSIND BANK LIMITED","1500"
"INFY","28-Feb-2018","INFOSYS TECHNOLOGIES LTD","48600"
"VEDL","06-Mar-2018","VEDANTA LIMITED","45500"
"VAKRANGEE","06-Mar-2018","VAKRANGEE LIMITED        ","79"
"ULTRACEMCO","06-Mar-2018","ULTRATECH CEMENT LIMITED","37000"
"INFY","06-Mar-2018","INFOSYS TECHNOLOGIES LTD","14400"
"INDUSINDBK","06-Mar-2018","INDUSIND BANK LIMITED","25800"
"GRAPHITE","06-Mar-2018","GRAPHITE INDIA LIMITED","12"
"VEDL","08-Mar-2018","VEDANTA LIMITED","31500"
"GRAPHITE","12-Mar-2018","GRAPHITE INDIA LIMITED","40"
"PHILIPCARB","12-Mar-2018","PHILLIPS CARBON BLACK LIMITED","17"
"BEPL","13-Mar-2018","BHANSALI ENGINEERING POLYMERS LIMITED","166"
"GRAPHITE","13-Mar-2018","GRAPHITE INDIA LIMITED","97"
"INFY","13-Mar-2018","INFOSYS TECHNOLOGIES LTD","259200"
"VAKRANGEE","13-Mar-2018","VAKRANGEE LIMITED        ","353"
"VENKEYS","14-Mar-2018","VENKY'S (INDIA) LIMITED","2"
"VAKRANGEE","14-Mar-2018","VAKRANGEE LIMITED        ","322"
"INFIBEAM","20-Mar-2018","INFIBEAM INCORP. LIMITED    ","64000"
"INDIGO","21-Mar-2018","INTERGLOBE AVIATION LTD  ","4200"
"INFY","26-Mar-2018","INFOSYS TECHNOLOGIES LTD","97800"
"INDIGO","26-Mar-2018","INTERGLOBE AVIATION LTD  ","4800"
"BOSCHLTD","26-Mar-2018","BOSCH LIMITED","211"
"BOSCHLTD","27-Mar-2018","BOSCH LIMITED","385"
"CUMMINSIND","27-Mar-2018","CUMMINS INDIA LTD","46800"
"INFY","27-Mar-2018","INFOSYS TECHNOLOGIES LTD","88678"
"AXISBANK","02-Apr-2018","AXIS BANK LIMITED","66590"
"BEPL","02-Apr-2018","BHANSALI ENGINEERING POLYMERS LIMITED","219"
"CIPLA","02-Apr-2018","CIPLA LTD","198204"
"GRAPHITE","02-Apr-2018","GRAPHITE INDIA LIMITED","94"
"PHILIPCARB","02-Apr-2018","PHILLIPS CARBON BLACK LIMITED","29"
"PHILIPCARB","03-Apr-2018","PHILLIPS CARBON BLACK LIMITED","47"
"BEPL","03-Apr-2018","BHANSALI ENGINEERING POLYMERS LIMITED","282"
