"Symbol","Date","Security Name","Quantity"
"RBLBANK","03-Jan-2020","RBL BANK LIMITED    ","3000"
"BERGEPAINT","03-Jan-2020","BERGER PAINTS (I) LIMITED","44000"
"BHARATFORG","03-Jan-2020","BHARAT FORGE LTD","5200"
"INFY","03-Jan-2020","INFOSYS TECHNOLOGIES LTD","25200"
"TATASTEEL","03-Jan-2020","TATA STEEL LIMITED","12000"
"BIOCON","06-Jan-2020","BIOCON LIMITED.","69000"
"INFRATEL","06-Jan-2020","BHARTI INFRATEL LIMITED","12000"
"PEL","06-Jan-2020","PIRAMAL ENTERPRISES LTD","24720"
"BHARATFORG","06-Jan-2020","BHARAT FORGE LTD","32500"
"KOTAKBANK","07-Jan-2020","KOTAK MAHINDRA BANK LTD","24800"
"RBLBANK","07-Jan-2020","RBL BANK LIMITED    ","21000"
"PEL","07-Jan-2020","PIRAMAL ENTERPRISES LTD","39552"
"JUBLFOOD","08-Jan-2020","JUBILANT FOODWORKS LTD","17500"
"HDFCBANK","08-Jan-2020","HDFC BANK LTD","3000"
"JUBLFOOD","09-Jan-2020","JUBILANT FOODWORKS LTD","17000"
"HDFCBANK","09-Jan-2020","HDFC BANK LTD","3500"
"INFRATEL","09-Jan-2020","BHARTI INFRATEL LIMITED","68000"
"INFRATEL","10-Jan-2020","BHARTI INFRATEL LIMITED","36000"
"BHARTIARTL","10-Jan-2020","BHARTI AIRTEL LIMITED","346137"
"HDFCBANK","10-Jan-2020","HDFC BANK LTD","9000"
"IGL","13-Jan-2020","INDRAPRASTHA GAS LTD","16500"
"HDFCBANK","13-Jan-2020","HDFC BANK LTD","15500"
"BHARTIARTL","13-Jan-2020","BHARTI AIRTEL LIMITED","166590"
"TATAGLOBAL","14-Jan-2020","TATA GLOBAL BEVERAGES LTD","329400"
"BERGEPAINT","14-Jan-2020","BERGER PAINTS (I) LIMITED","37400"
"BHARTIARTL","15-Jan-2020","BHARTI AIRTEL LIMITED","96252"
"BERGEPAINT","15-Jan-2020","BERGER PAINTS (I) LIMITED","19800"
"BERGEPAINT","16-Jan-2020","BERGER PAINTS (I) LIMITED","2200"
"BHARTIARTL","16-Jan-2020","BHARTI AIRTEL LIMITED","107358"
"BERGEPAINT","17-Jan-2020","BERGER PAINTS (I) LIMITED","50442"
"BHARTIARTL","17-Jan-2020","BHARTI AIRTEL LIMITED","124017"
"JUSTDIAL","17-Jan-2020","JUST DIAL LIMITED","9800"
"IOC","21-Jan-2020","INDIAN OIL CORP LTD","796000"
"IOC","22-Jan-2020","INDIAN OIL CORP LTD","524000"
"POWERGRID","23-Jan-2020","POWER GRID CORP. LTD.","180000"
