"Symbol","Date","Security Name","Quantity"
"BHEL","03-Jan-2013","BHEL","124000"
"TATAMOTORS","10-Jan-2013","TATA MOTORS LIMITED","4000"
"SBIN","10-Jan-2013","STATE BANK OF INDIA","1625"
"BHEL","10-Jan-2013","BHEL","6000"
"BHEL","11-Jan-2013","BHEL","20000"
"INFY","11-Jan-2013","INFOSYS TECHNOLOGIES LTD","5875"
"INDUSINDBK","15-Jan-2013","INDUSIND BANK LIMITED","12000"
"TATAMOTORS","15-Jan-2013","TATA MOTORS LIMITED","8000"
"BANKINDIA","15-Jan-2013","BANK OF INDIA","17011"
"INDUSINDBK","16-Jan-2013","INDUSIND BANK LIMITED","1000"
"TATAMOTORS","17-Jan-2013","TATA MOTORS LIMITED","6000"
"HINDUNILVR","18-Jan-2013","HINDUSTAN UNILEVER LTD.","101000"
"BAJAJ-AUTO","18-Jan-2013","BAJAJ AUTO LIMITED","25000"
"MARUTI","21-Jan-2013","MARUTI SUZUKI INDIA LTD.","44145"
"BAJAJ-AUTO","21-Jan-2013","BAJAJ AUTO LIMITED","7750"
"BHEL","21-Jan-2013","BHEL","73000"
"HINDUNILVR","22-Jan-2013","HINDUSTAN UNILEVER LTD.","9000"
"MARUTI","22-Jan-2013","MARUTI SUZUKI INDIA LTD.","11500"
"INDUSINDBK","22-Jan-2013","INDUSIND BANK LIMITED","2000"
"ULTRACEMCO","23-Jan-2013","ULTRATECH CEMENT LIMITED","7410"
"INDUSINDBK","23-Jan-2013","INDUSIND BANK LIMITED","41395"
"BHEL","23-Jan-2013","BHEL","99000"
"LT","24-Jan-2013","LARSEN &amp; TOUBRO LTD.","1041"
"INDUSINDBK","24-Jan-2013","INDUSIND BANK LIMITED","15000"
"BANKINDIA","24-Jan-2013","BANK OF INDIA","21000"
"ULTRACEMCO","24-Jan-2013","ULTRATECH CEMENT LIMITED","1750"
"BHEL","24-Jan-2013","BHEL","23000"
"TATAMOTORS","25-Jan-2013","TATA MOTORS LIMITED","49325"
"ULTRACEMCO","25-Jan-2013","ULTRATECH CEMENT LIMITED","6077"
"BANKBARODA","25-Jan-2013","BANK OF BARODA","10500"
"BAJAJ-AUTO","25-Jan-2013","BAJAJ AUTO LIMITED","1500"
"ADANIPORTS","28-Jan-2013","ADANI PORT &amp; SEZ LTD","16000"
"AXISBANK","28-Jan-2013","AXIS BANK LIMITED","1750"
"AXISBANK","29-Jan-2013","AXIS BANK LIMITED","5000"
"TATAMOTORS","29-Jan-2013","TATA MOTORS LIMITED","1000"
"ADANIPORTS","29-Jan-2013","ADANI PORT &amp; SEZ LTD","197701"
"BAJAJ-AUTO","31-Jan-2013","BAJAJ AUTO LIMITED","500"
"BANKINDIA","31-Jan-2013","BANK OF INDIA","91000"
"INFY","31-Jan-2013","INFOSYS TECHNOLOGIES LTD","2250"
"ULTRACEMCO","31-Jan-2013","ULTRATECH CEMENT LIMITED","750"
"YESBANK","01-Feb-2013","YES BANK LIMITED","70000"
"BANKBARODA","01-Feb-2013","BANK OF BARODA","2500"
"KOTAKBANK","01-Feb-2013","KOTAK MAHINDRA BANK LTD","57400"
"BANKINDIA","01-Feb-2013","BANK OF INDIA","45754"
